Date,Vial #,Day (letter of vial),wildtype,yellow/vermillion,yellow only,vermillion only,wildtype,yellow/vermillion,yellow only,vermillion only,Initials
29-Mar,1,A,5,8,7,10,9,10,7,7,MCS
29-Mar,2,A,5,10,3,4,3,6,1,1,MCS
29-Mar,3,A,8,0,5,7,12,16,8,5,MCS
29-Mar,4,A,10,8,6,5,10,7,5,3,MCS
29-Mar,4,A,3,3,6,1,2,0,1,2,KAP
29-Mar,5,A,4,5,6,6,1,3,2,2,KAP
29-Mar,6,A,10,4,7,11,6,8,5,8,KAP
29-Mar,8,A,8,8,15,3,8,9,3,9,KAP
29-Mar,9,A,2,6,8,7,3,6,8,5,KAP
31-Mar,7,A,4,3,4,4,2,2,1,2,KAP
31-Mar,10,A,7,8,3,7,5,10,7,6,KAP
31-Mar,11,A,3,6,2,5,1,6,3,6,KAP
31-Mar,12,A,2,7,6,9,10,8,8,6,KAP
31-Mar,13,A,13,0,4,6,10,6,7,6,KAP
2-Apr,1,B,7,10,8,4,8,10,7,5,MCS
2-Apr,2,B,5,5,3,4,3,4,4,3,MCS
2-Apr,3,B,4,1,6,7,10,7,8,10,MCS
2-Apr,4,B,12,10,11,5,13,8,10,15,MCS
2-Apr,5,B,13,10,8,11,5,7,6,15,MCS
2-Apr,6,B,12,10,12,6,5,12,5,6,MCS
3-Apr,20,A,3,0,2,2,2,1,4,5,KLM
3-Apr,21,A,9,20,11,10,17,16,13,13,KLM
3-Apr,22,A,11,7,5,6,11,15,13,11,KLM
3-Apr,23,A,2,4,3,3,1,5,4,4,KLM
3-Apr,25,A,7,14,9,6,10,16,8,12,KLM
3-Apr,26,A,8,7,9,8,8,8,9,10,KLM
3-Apr,27,A,16,2,11,5,12,8,10,15,KLM
3-Apr,7,B,14,4,6,9,11,9,10,10,MCS
3-Apr,8,B,8,9,5,4,8,9,10,4,MCS
3-Apr,28,A,3,1,1,1,2,1,4,5,KAP
3-Apr,29,A,1,1,1,0,1,1,0,4,KAP
3-Apr,30,A,8,1,4,1,2,3,8,5,KAP
3-Apr,31,A,0,0,0,0,0,0,0,0,KAP
3-Apr,32,A,3,7,6,8,6,10,11,6,KAP
3-Apr,33,A,1,3,1,0,1,6,1,3,KAP
3-Apr,34,A,1,4,7,4,4,7,2,5,KAP
3-Apr,35,A,4,7,7,5,4,4,3,2,KAP
4-Apr,36,A,11,11,9,9,9,11,9,16,NMC
4-Apr,37,A,4,8,7,7,10,5,7,4,NMC
4-Apr,39,A,4,11,6,6,10,11,12,11,NMC
4-Apr,9,B,13,18,8,10,16,14,10,18,MCS
4-Apr,10,B,8,14,7,10,9,8,4,9,MCS
4-Apr,11,B,10,17,11,8,19,11,14,10,MCS
4-Apr,12,B,3,8,6,13,10,11,5,8,MCS
4-Apr,14,A,0,2,1,6,1,11,3,2,KAP
4-Apr,15,A,8,5,6,6,2,10,5,7,KAP
4-Apr,16,A,7,5,6,11,12,10,7,7,KAP
4-Apr,17,A,4,5,1,6,5,6,7,2,KAP
4-Apr,18,A,5,8,3,3,3,9,4,3,KAP
4-Apr,19,A,5,4,5,9,9,14,9,5,KAP
5-Apr,13,B,7,6,3,4,3,17,8,7,MCS
5-Apr,14,B,5,16,9,10,6,6,5,5,MCS
5-Apr,15,B,2,12,11,5,8,6,4,6,MCS
5-Apr,16,B,13,14,19,22,9,11,14,16,MCS
5-Apr,17,B,5,11,6,8,6,7,4,9,MCS
5-Apr,18,B,18,17,10,13,14,12,15,6,MCS
5-Apr,19,B,4,10,6,8,11,10,7,12,MCS
5-Apr,21,C,7,15,5,14,11,12,11,11,NMC
5-Apr,22,C,18,8,7,11,5,18,7,6,NMC
5-Apr,23,C,8,6,3,8,4,3,5,7,NMC
5-Apr,20,C,9,6,7,6,8,6,10,7,NMC
5-Apr,24,C,0,0,0,0,0,0,0,0,NMC
5-Apr,38,A,0,0,0,0,0,0,0,0,MCS
5-Apr,99,A,0,0,0,0,0,0,0,0,MCS
5-Apr,98,A,0,0,0,0,0,0,0,0,MCS
5-Apr,81,A,0,0,0,0,0,0,0,0,MCS
5-Apr,47,A,0,0,0,0,0,0,0,0,MCS
5-Apr,51,A,0,0,0,0,0,0,0,0,MCS
5-Apr,52,A,0,0,0,0,0,0,0,0,MCS
5-Apr,58,A,0,0,0,0,0,0,0,0,MCS
5-Apr,66,A,0,0,0,0,0,0,0,0,MCS
5-Apr,70,A,0,0,0,0,0,0,0,0,MCS
5-Apr,72,A,0,0,0,0,0,0,0,0,MCS
5-Apr,73,A,0,0,0,0,0,0,0,0,MCS
5-Apr,78,A,0,0,0,0,0,0,0,0,MCS
5-Apr,80,A,0,0,0,0,0,0,0,0,MCS
5-Apr,83,A,0,0,0,0,0,0,0,0,MCS
6-Apr,40,A,4,6,11,5,7,14,9,7,KLM
6-Apr,41,A,1,2,1,1,1,2,5,1,KLM
6-Apr,42,A,7,8,6,7,9,9,2,7,KLM
6-Apr,43,A,1,0,2,2,5,3,5,2,KLM
6-Apr,44,A,15,9,13,10,13,7,11,10,KLM
6-Apr,45,A,5,7,5,2,2,4,3,3,KLM
6-Apr,46,A,8,5,6,2,9,8,6,12,KLM
6-Apr,48,A,2,2,4,5,2,1,1,5,KLM
6-Apr,49,A,5,3,5,9,7,0,6,5,KLM
8-Apr,25,C,1,7,5,5,4,11,9,4,MCS
8-Apr,26,C,1,1,2,1,1,1,2,0,MCS
8-Apr,27,C,5,7,2,8,8,5,5,6,MCS
8-Apr,28,C,0,0,0,0,1,0,1,0,MCS
8-Apr,29,C,1,1,2,2,4,4,4,1,MCS
8-Apr,30,C,1,0,1,0,0,0,1,0,MCS
8-Apr,20,C,0,2,1,1,1,0,1,1,MCS
8-Apr,21,C,2,3,1,0,1,1,0,2,MCS
8-Apr,22,C,1,2,1,0,1,0,3,1,MCS
8-Apr,23,C,0,0,1,1,0,0,0,0,MCS
10-Apr,53,A,4,4,5,3,7,6,8,10,KLM
10-Apr,54,A,6,3,2,2,3,1,1,2,KLM
10-Apr,55,A,4,4,4,2,6,6,4,8,KLM
10-Apr,56,A,8,3,1,9,8,3,5,1,KLM
10-Apr,57,A,9,3,3,7,3,3,2,4,KLM
10-Apr,59,A,7,9,4,7,6,8,5,6,KLM
10-Apr,60,A,6,8,4,4,10,6,7,8,KLM
10-Apr,61,A,6,6,6,10,4,4,7,6,KLM
10-Apr,62,A,7,6,4,6,9,6,9,7,KLM
10-Apr,24,B,0,0,0,0,0,0,0,0,KLM
10-Apr,31,B,0,0,0,0,0,0,0,0,KLM
10-Apr,38,B,0,0,0,0,0,0,0,0,KLM
10-Apr,47,B,0,0,0,0,0,0,0,0,KLM
10-Apr,51,B,0,0,0,0,0,0,0,0,KLM
10-Apr,52,B,0,0,0,0,0,0,0,0,KLM
10-Apr,58,B,0,0,0,0,0,0,0,0,KLM
10-Apr,66,B,0,0,0,0,0,0,0,0,KLM
10-Apr,70,B,0,0,0,0,0,0,0,0,KLM
10-Apr,73,B,0,0,0,0,0,0,0,0,KLM
10-Apr,78,B,0,0,0,0,0,0,0,0,KLM
