"","F1.Vial","Day..letter.of.vial.","Treatment","SCO1.sum","NCO1.sum","total_offspring","Num_moms","fecundity"
"1","V10a","A",25,25,34,59,6,9.83333333333333
"2","V10a","B",25,53,37,90,6,15
"3","V10a","C",25,15,18,33,6,5.5
"4","V10a","D",25,3,1,4,6,0.666666666666667
"5","V1a","A",20,16,19,35,8,4.375
"6","V1a","B",20,41,31,72,8,9
"7","V1a","C",20,4,9,13,8,1.625
"8","V1a","D",20,3,7,10,8,1.25
"9","V2a","A",20,25,22,47,8,5.875
"10","V2a","B",20,14,22,36,8,4.5
"11","V2a","C",20,5,6,11,8,1.375
"12","V2a","D",20,0,1,1,8,0.125
"13","V3a","A",20,26,35,61,7,8.71428571428571
"14","V3a","B",20,63,58,121,7,17.2857142857143
"15","V3a","C",20,25,25,50,7,7.14285714285714
"16","V3a","D",20,19,13,32,7,4.57142857142857
"17","V5a","A",20,9,15,24,8,3
"18","V5a","B",20,49,24,73,8,9.125
"19","V5a","C",20,33,29,62,8,7.75
"20","V5a","D",20,15,15,30,8,3.75
"21","V6a","A",25,11,15,26,6,4.33333333333333
"22","V6a","B",25,22,35,57,6,9.5
"23","V6a","C",25,5,4,9,6,1.5
"24","V7a","A",25,8,14,22,6,3.66666666666667
"25","V7a","B",25,18,15,33,6,5.5
"26","V7a","C",25,3,9,12,6,2
"27","V7a","D",25,0,0,0,6,0
"28","V8a","A",25,35,18,53,6,8.83333333333333
"29","V8a","B",25,14,16,30,6,5
"30","V8a","C",25,5,7,12,6,2
"31","V8a","D",25,6,8,14,6,2.33333333333333
"32","V9a","A",25,25,13,38,6,6.33333333333333
"33","V9a","B",25,4,6,10,6,1.66666666666667
"34","V9a","C",25,4,11,15,6,2.5
"35","V9a","D",25,4,8,12,6,2
