Date,Vial #,Day (letter of vial),# females,# males,Sum of phenotypes,Wildtype,Vellow/vermillion,Yellow only,Vermillion only,Phenotyped by:
10-Jul,1,A,2,1,1,0,0,0,1,LSS
10-Jul,11,A,6,6,6,1,3,1,1,LSS
10-Jul,12,A,5,2,2,0,0,0,2,LSS
10-Jul,13,A,8,5,5,1,2,2,0,LSS
10-Jul,15,A,13,11,11,3,1,2,5,LSS
10-Jul,16,A,6,7,7,0,3,4,0,LSS
10-Jul,17,A,1,5,5,2,0,2,1,LSS
10-Jul,18,A,10,1,1,0,0,1,0,LSS
10-Jul,19,A,4,1,1,0,0,1,0,LSS
10-Jul,23,A,9,4,4,3,1,0,0,LSS
10-Jul,26,A,7,3,3,0,0,3,0,LSS
10-Jul,32,A,9,0,0,0,0,0,0,LSS
10-Jul,1,B,10,7,7,1,4,2,0,LSS
10-Jul,3,B,22,12,12,4,3,2,3,LSS
10-Jul,6,B,3,2,2,0,0,1,1,LSS
10-Jul,8,B,2,0,0,0,0,0,0,LSS
14-Jul,8,A,1,0,0,0,0,0,0,SBL
14-Jul,11,A,7,6,6,3,1,1,1,SBL
14-Jul,13,A,3,1,1,1,0,0,0,SBL
14-Jul,15,A,3,1,1,1,0,0,0,SBL
14-Jul,16,A,4,1,1,0,0,0,1,SBL
14-Jul,17,A,4,0,0,0,0,0,0,SBL
14-Jul,18,A,5,5,5,2,0,2,1,SBL
14-Jul,22,A,21,13,13,5,1,3,4,SBL
14-Jul,23,A,1,7,7,2,2,2,1,SBL
14-Jul,24,A,23,11,11,2,4,2,3,SBL
14-Jul,26,A,3,5,5,3,1,0,1,SBL
14-Jul,27,A,1,3,3,1,2,0,0,SBL
14-Jul,28,A,1,1,1,0,0,0,1,SBL
14-Jul,32,A,1,4,4,1,1,1,1,SBL
14-Jul,30,A,23,13,13,4,0,8,1,SBL
14-Jul,34,A,7,7,7,5,0,0,2,SBL
14-Jul,35,A,2,1,1,0,1,0,0,SBL
14-Jul,1,B,5,11,11,1,3,4,3,LSS
14-Jul,3,B,4,4,4,0,0,0,4,LSS
14-Jul,6,B,17,10,10,3,1,2,4,LSS
14-Jul,8,B,13,12,12,1,6,2,3,LSS
14-Jul,9,B,12,6,6,2,1,1,2,LSS
14-Jul,10,B,3,4,4,0,2,2,0,LSS
14-Jul,11,B,14,7,7,1,3,1,2,LSS
14-Jul,12,B,18,21,21,4,6,4,7,LSS
14-Jul,36,A,0,1,1,1,0,0,0,SBL
14-Jul,37,A,10,5,5,1,3,0,1,SBL
14-Jul,40,A,15,7,7,1,4,1,1,SBL
14-Jul,41,A,7,7,7,1,1,4,1,SBL
14-Jul,42,A,7,11,11,4,3,2,2,SBL
14-Jul,46,A,12,14,14,6,1,4,3,SBL
14-Jul,48,A,5,0,0,0,0,0,0,SBL
14-Jul,49,A,4,2,2,0,1,0,1,SBL
14-Jul,53,A,0,1,1,0,0,1,0,SBL
14-Jul,59,A,4,5,5,3,1,1,0,SBL
14-Jul,62,A,2,0,0,0,0,0,0,SBL
14-Jul,64,A,8,0,0,0,0,0,0,SBL
14-Jul,65,A,4,4,4,1,2,0,1,SBL
14-Jul,69,A,1,2,2,0,0,2,0,SBL
14-Jul,75,A,2,0,0,0,0,0,0,SBL
14-Jul,76,A,2,0,0,0,0,0,0,SBL
14-Jul,13,B,18,12,12,2,3,6,1,SBL
14-Jul,14,B,30,16,16,5,5,3,3,SBL
14-Jul,15,B,2,1,1,0,1,0,0,SBL
14-Jul,16,B,20,10,10,2,3,0,5,SBL
14-Jul,17,B,25,16,16,5,6,2,3,SBL
14-Jul,18,B,8,2,2,1,1,0,0,SBL
14-Jul,19,B,25,10,10,4,2,2,2,SBL
14-Jul,20,B,15,8,8,2,2,2,2,SBL
14-Jul,23,B,6,13,13,4,1,5,3,SBL
14-Jul,26,B,10,1,1,0,0,1,0,SBL
15-Jul,27,B,15,8,8,2,4,0,2,SBL
15-Jul,28,B,14,9,9,3,2,1,3,SBL
15-Jul,29,B,18,0,0,0,0,0,0,SBL
15-Jul,31,B,26,8,8,4,2,1,1,SBL
15-Jul,32,B,1,1,1,0,1,0,0,SBL
15-Jul,33,B,6,1,1,0,1,0,0,SBL
15-Jul,34,B,10,13,13,4,3,4,2,SBL
15-Jul,35,B,5,1,1,0,1,0,0,SBL
15-Jul,36,B,11,11,11,1,3,4,3,SBL
15-Jul,37,B,5,2,2,1,1,0,0,SBL
15-Jul,38,B,18,9,9,3,2,2,2,SBL
15-Jul,39,B,18,10,10,4,2,2,2,SBL
15-Jul,40,B,5,10,10,6,3,0,1,SBL
15-Jul,42,B,3,2,2,0,1,1,0,SBL
15-Jul,44,B,5,0,0,0,0,0,0,SBL
15-Jul,46,B,5,3,3,1,1,0,1,SBL
15-Jul,47,B,9,2,2,0,1,1,0,SBL
15-Jul,48,B,7,2,2,1,1,0,0,SBL
15-Jul,49,B,6,1,1,1,0,0,0,SBL
15-Jul,53,B,1,0,0,0,0,0,0,SBL
15-Jul,55,B,4,1,1,1,0,0,0,SBL
15-Jul,58,B,4,5,5,1,1,0,3,SBL
15-Jul,59,B,6,6,6,0,4,2,0,SBL
15-Jul,71,B,1,1,1,1,0,0,0,SBL
15-Jul,1,F,8,5,5,0,1,1,3,SBL
15-Jul,7,F,3,8,8,4,3,1,0,SBL
15-Jul,9,F,0,3,3,2,0,0,1,SBL
15-Jul,13,F,4,6,6,3,1,2,0,SBL
15-Jul,14,F,2,5,5,1,0,3,1,SBL
15-Jul,19,F,3,0,0,0,0,0,0,SBL
15-Jul,23,F,6,1,1,1,0,0,0,SBL
15-Jul,9,C,8,4,4,3,1,0,0,KLM
15-Jul,10,C,6,1,1,0,0,1,0,KLM
15-Jul,27,C,1,1,1,1,0,0,0,KLM
15-Jul,29,C,6,4,4,0,3,0,1,KLM
15-Jul,30,C,6,2,2,0,1,1,0,KLM
15-Jul,37,C,1,0,0,0,0,0,0,KLM
15-Jul,39,C,3,2,2,0,1,1,0,KLM
15-Jul,46,C,3,2,2,0,1,0,1,KLM
15-Jul,53,C,1,0,0,0,0,0,0,KLM
15-Jul,55,C,4,4,4,0,2,0,2,KLM
15-Jul,56,C,5,4,4,1,1,1,1,KLM
15-Jul,57,C,3,0,0,0,0,0,0,KLM
15-Jul,58,C,3,2,2,0,1,0,1,KLM
15-Jul,59,C,7,1,1,0,1,0,0,KLM
15-Jul,62,C,2,3,3,0,0,2,1,KLM
15-Jul,65,C,1,1,1,0,0,1,0,KLM
15-Jul,67,C,1,1,1,0,0,1,0,KLM
