Vial number,Day crossed,Treatment,F1 Vial,Virgin Vial,# females,Day collected,Male date,# males,Notes
1,12/4/17,20,V1a,A,1,11/27/17,11/27/17,1,M
2,12/4/17,20,V1a,A,1,11/27/17,11/27/17,1,
3,12/4/17,20,V1a,A,1,11/27/17,11/27/17,1,
4,12/4/17,20,V1a,A,1,11/27/17,11/27/17,1,M
5,12/4/17,20,V3a,C,1,11/27/17,11/27/17,1,M
6,12/4/17,20,V3a,C,1,11/27/17,11/27/17,1,
7,12/4/17,20,V3a,C,1,11/27/17,11/27/17,1,
8,12/4/17,20,V3a,C,1,11/27/17,11/27/17,1,
9,12/4/17,20,V5a,D,1,11/27/17,11/27/17,1,M
10,12/4/17,20,V5a,D,1,11/27/17,11/27/17,1,
11,12/4/17,20,V5a,D,1,11/27/17,11/27/17,1,
12,12/4/17,20,V5a,D,1,11/27/17,11/27/17,1,V-12B female dead
13,12/4/17,25,V6a,1,1,11/27/17,11/27/17,1,
14,12/4/17,25,V6a,1,1,11/27/17,11/27/17,1,
15,12/4/17,25,V6a,1,1,11/27/17,11/27/17,1,
16,12/4/17,25,V7a,2,1,11/27/17,11/27/17,1,
17,12/4/17,25,V7a,2,1,11/27/17,11/27/17,1,
18,12/4/17,25,V7a,2,1,11/27/17,11/27/17,1,M V18C dead
19,12/4/17,25,V8a,3,1,11/27/17,11/27/17,1,M
20,12/4/17,25,V8a,3,1,11/27/17,11/27/17,1,
21,12/4/17,25,V8a,3,1,11/27/17,11/27/17,1,
22,12/4/17,25,V9a,4,1,11/27/17,11/27/17,1,M V22D female dead
23,12/4/17,25,V9a,4,1,11/27/17,11/27/17,1,M V23B female dead
24,12/4/17,25,V9a,4,1,11/27/17,11/27/17,1,M
25,12/4/17,25,V10a,5,1,11/27/17,11/27/17,1,M
26,12/4/17,25,V10a,5,1,11/27/17,11/27/17,1,
27,12/4/17,25,V10a,5,1,11/27/17,11/27/17,1,
28,12/4/17,25,V10a,5,1,11/27/17,11/27/17,1,V28B female dead
29,12/5/17,20,V1a,I,1,11/28/17,11/28/17,1,M
30,12/5/17,20,V1a,I,1,11/28/17,11/28/17,1,M
31,12/5/17,20,V1a,I,1,11/28/17,11/28/17,1,
32,12/5/17,20,V1a,I,1,11/28/17,11/28/17,1,
33,12/5/17,20,V2a,J,1,11/28/17,11/28/17,1,
34,12/5/17,20,V2a,J,1,11/28/17,11/28/17,1,
35,12/5/17,20,V2a,J,1,11/28/17,11/28/17,1,
36,12/5/17,20,V2a,J,1,11/28/17,11/28/17,1,
37,12/5/17,20,V3a,K,1,11/28/17,11/28/17,1,M
38,12/5/17,20,V3a,K,1,11/28/17,11/28/17,1,V38D dead
39,12/5/17,25,V6a,8,1,11/28/17,11/28/17,1,
40,12/5/17,25,V6a,8,1,11/28/17,11/28/17,1,
41,12/5/17,25,V6a,8,1,11/28/17,11/28/17,1,
42,12/5/17,25,V8a,10,1,11/28/17,11/28/17,1,
43,12/5/17,25,V8a,10,1,11/28/17,11/28/17,1,
44,12/5/17,25,V8a,10,1,11/28/17,11/28/17,1,
45,12/5/17,25,V9a,11,1,11/28/17,11/28/17,1,
46,12/5/17,25,V9a,11,1,11/28/17,11/28/17,1,
47,12/5/17,25,V9a,11,1,11/28/17,11/28/17,1,
48,12/5/17,25,V10a,12,1,11/28/17,11/28/17,1,
49,12/6/17,20,V3a,T,1,11/29/17,11/29/17,1,
50,12/6/17,20,V2a,S,1,11/29/17,11/29/17,1,M
51,12/6/17,20,V2a,S,1,11/29/17,11/29/17,1,M
52,12/6/17,20,V2a,S,1,11/29/17,11/29/17,1,
53,12/6/17,20,V2a,S,1,11/29/17,11/29/17,1,V53D dead
54,12/6/17,20,V5a,U,1,11/29/17,11/29/17,1,
55,12/6/17,20,V5a,U,1,11/29/17,11/29/17,1,
56,12/6/17,20,V5a,U,1,11/29/17,11/29/17,1,
57,12/6/17,20,V5a,U,1,11/29/17,11/29/17,1,
58,12/6/17,25,V7a,16,1,11/29/17,11/29/17,1,
59,12/6/17,25,V7a,16,1,11/29/17,11/29/17,1,V59D dead
60,12/6/17,25,V7a,16,1,11/29/17,11/29/17,1,
61,12/6/17,25,V10a,17,1,11/29/17,11/29/17,1,
