"","F1.Vial","new_day","Treatment","SCO1.sum","SCO2.sum","NCO1.sum","NCO2.sum","total_offspring","Num_moms","fecundity"
"1","V11a","A",24,38,33,39,49,159,9,17.6666666666667
"2","V11a","B",24,6,11,7,6,30,9,3.33333333333333
"3","V11a","C",24,18,12,16,18,64,9,7.11111111111111
"4","V11a","D",24,8,5,15,8,36,9,4
"5","V11a","E",24,5,8,6,2,21,9,2.33333333333333
"6","V11a","F",24,4,1,0,3,8,9,0.888888888888889
"7","V19a","A",24,14,16,20,16,66,7,9.42857142857143
"8","V19a","B",24,5,8,3,8,24,7,3.42857142857143
"9","V19a","C",24,4,3,7,1,15,7,2.14285714285714
"10","V19a","D",24,16,10,10,10,46,7,6.57142857142857
"11","V19a","E",24,3,3,3,6,15,7,2.14285714285714
"12","V19a","F",24,1,0,2,1,4,7,0.571428571428571
"13","V1a","A",18,25,22,32,24,103,9,11.4444444444444
"14","V1a","B",18,6,3,3,24,36,9,4
"15","V1a","C",18,6,5,5,5,21,9,2.33333333333333
"16","V1a","D",18,10,6,12,5,33,9,3.66666666666667
"17","V1a","E",18,6,0,0,2,8,9,0.888888888888889
"18","V1a","F",18,0,1,2,2,5,9,0.555555555555556
"19","V2a","A",18,24,30,31,37,122,9,13.5555555555556
"20","V2a","B",18,4,16,11,16,47,9,5.22222222222222
"21","V2a","C",18,9,10,10,11,40,9,4.44444444444444
"22","V2a","D",18,12,7,12,10,41,9,4.55555555555556
"23","V2a","E",18,3,8,4,6,21,9,2.33333333333333
"24","V2a","F",18,1,0,1,1,3,9,0.333333333333333
"25","V3a","A",18,28,47,31,54,160,9,17.7777777777778
"26","V3a","B",18,15,27,17,19,78,9,8.66666666666667
"27","V3a","C",18,11,6,8,10,35,9,3.88888888888889
"28","V3a","D",18,23,16,24,14,77,9,8.55555555555556
"29","V3a","E",18,5,6,11,4,26,9,2.88888888888889
"30","V3a","F",18,3,0,2,3,8,9,0.888888888888889
"31","V5a","A",18,15,15,19,31,80,10,8
"32","V5a","B",18,11,12,10,20,53,10,5.3
"33","V5a","C",18,6,4,8,6,24,10,2.4
"34","V5a","D",18,4,7,6,9,26,10,2.6
"35","V5a","E",18,4,4,2,14,24,10,2.4
"36","V5a","F",18,3,1,3,2,9,10,0.9
"37","V7a","A",24,16,25,21,21,83,8,10.375
"38","V7a","B",24,4,0,1,1,6,8,0.75
"39","V7a","C",24,13,20,14,22,69,8,8.625
"40","V7a","D",24,11,8,11,12,42,8,5.25
"41","V7a","E",24,3,6,2,3,14,8,1.75
"42","V7a","F",24,5,1,2,3,11,8,1.375
"43","V9a","A",24,24,23,26,36,109,9,12.1111111111111
"44","V9a","B",24,2,1,4,2,9,9,1
"45","V9a","C",24,4,5,9,11,29,9,3.22222222222222
"46","V9a","D",24,3,2,4,3,12,9,1.33333333333333
"47","V9a","E",24,1,4,1,2,8,9,0.888888888888889
"48","V9a","F",24,1,1,2,3,7,9,0.777777777777778
