,Date,Vial number,Day (letter of vial),# females,# males,wildtype,yellow/vermillion,yellow only,vermillion only,Notes
,12/27/17,1,A,7,0,0,0,0,0,
,12/27/17,2,A,6,2,2,0,0,0,
,12/27/17,3,A,8,4,2,0,1,1,
,12/27/17,4,A,11,3,2,0,1,0,
,12/27/17,6,A,6,0,0,0,0,0,
,12/27/17,7,A,17,11,5,2,2,2,
,12/27/17,8,A,15,8,3,1,4,0,
,12/27/17,14,A,12,8,6,0,1,1,
,12/27/17,21,A,14,14,2,4,7,1,
KAP,1/9/18,1,A,11,6,2,2,1,1,
KAP,1/9/18,2,A,6,9,3,2,3,1,
KAP,1/9/18,3,A,3,0,0,0,0,0,
KAP,1/9/18,4,A,6,3,0,0,2,1,
KAP,1/9/18,5,A,19,12,4,3,2,3,2 dead
KAP,1/9/18,6,A,22,19,8,5,4,2,3 dead
KAP,1/9/18,7,A,8,13,1,5,3,4,
KAP,1/9/18,8,A,18,17,3,5,4,5,2 dead
KAP,1/9/18,9,A,19,15,3,6,2,4,
KAP,1/9/18,10,A,32,14,5,2,3,4,1 dead
KAP,1/9/18,11,A,10,11,2,5,2,2,1 dead
KAP,1/9/18,12,A,1,1,0,0,1,0,
KAP,1/9/18,13,A,7,5,3,1,1,0,
KAP,1/9/18,14,A,5,4,1,1,1,1,
KLM,1/14/18,14,A,6,8,2,1,3,2,
KAP,1/9/18,15,A,10,11,2,3,4,2,
KAP,1/9/18,16,A,0,0,0,0,0,0,
KAP,1/9/18,17,A,6,7,2,2,1,2,
KAP,1/9/18,18,A,1,0,0,0,0,0,
KAP,1/9/18,19,A,9,6,4,0,2,0,1 dead
KLM,1/9/18,20,A,24,17,3,5,5,4,
KLM,1/9/18,21,A,10,12,2,3,4,3,
KLM,1/14/18,21,A,7,9,1,0,8,0,
KLM,1/9/18,22,A,11,13,1,2,6,4,
KLM,1/9/18,23,A,20,11,3,5,1,2,
KLM,1/9/18,24,A,21,14,3,3,5,3,
KLM,1/9/18,25,A,25,16,6,6,3,1,
KLM,1/9/18,26,A,24,10,6,3,1,0,
KAP,1/9/18,27,A,13,18,10,1,3,4,
KAP,1/9/18,28,A,26,24,8,7,6,3,
KAP,1/9/18,29,A,14,5,2,1,2,0,5 dead
KAP,1/9/18,30,A,18,5,0,1,4,0,1 dead
KLM,1/10/18,31,A,14,7,4,1,1,1,
KLM,1/10/18,32,A,14,5,2,0,1,2,
KLM,1/10/18,33,A,20,21,5,3,10,3,
KLM,1/10/18,34,A,20,19,5,7,5,2,
KLM,1/10/18,35,A,26,13,3,2,5,3,
KLM,1/10/18,36,A,0,0,0,0,0,0,
KLM,1/10/18,37,A,13,18,7,6,1,4,
KLM,1/10/18,38,A,23,7,2,1,3,1,
KLM,1/10/18,39,A,0,3,0,0,1,2,5 dead
KLM,1/10/18,40,A,0,0,0,0,0,0,
NMC,1/10/18,41,A,4,4,1,2,0,1,
