"","F1.Vial","Day..letter.of.vial.","Treatment","SCO1.sum","SCO2.sum","NCO1.sum","NCO2.sum","total_offspring","Num_moms","fecundity"
"1","V10A","A","25°",57,51,44,54,206,11,18.7272727272727
"2","V10A","B","25°",6,12,6,8,32,11,2.90909090909091
"3","V10A","C","25°",9,5,6,9,29,11,2.63636363636364
"4","V10A","D","25°",1,0,0,0,1,11,0.0909090909090909
"5","V10A","E","25°",0,0,0,0,0,11,0
"6","V10A","F","25°",14,7,10,8,39,11,3.54545454545455
"7","V13A","A","20°",7,10,8,11,36,10,3.6
"8","V13A","B","20°",31,38,53,32,154,10,15.4
"9","V13A","C","20°",13,18,17,14,62,10,6.2
"10","V13A","D","20°",10,4,9,8,31,10,3.1
"11","V13A","E","20°",15,4,19,2,40,10,4
"12","V13A","F","20°",10,0,36,6,52,10,5.2
"13","V14A","A","20°",9,7,13,11,40,9,4.44444444444444
"14","V14A","B","20°",25,22,22,33,102,9,11.3333333333333
"15","V14A","C","20°",33,39,27,37,136,9,15.1111111111111
"16","V14A","D","20°",10,12,13,14,49,9,5.44444444444444
"17","V14A","F","20°",38,6,66,13,123,9,13.6666666666667
"18","V15A","A","20°",5,6,6,7,24,10,2.4
"19","V15A","B","20°",43,54,46,46,189,10,18.9
"20","V15A","C","20°",24,25,20,20,89,10,8.9
"21","V15A","D","20°",0,1,0,1,2,10,0.2
"22","V15A","E","20°",30,48,82,82,242,10,24.2
"23","V15A","F","20°",4,5,3,5,17,10,1.7
"24","V16A","A","25°",33,35,34,46,148,9,16.4444444444444
"25","V16A","B","25°",17,12,21,14,64,9,7.11111111111111
"26","V16A","C","25°",16,25,14,29,84,9,9.33333333333333
"27","V16A","E","25°",1,5,5,6,17,9,1.88888888888889
"28","V16A","F","25°",3,0,3,0,6,9,0.666666666666667
"29","V17A","A","25°",8,7,7,7,29,8,3.625
"30","V17A","B","25°",15,22,39,21,97,8,12.125
"31","V17A","C","25°",0,1,0,1,2,8,0.25
"32","V17A","D","25°",2,5,7,6,20,8,2.5
"33","V17A","F","25°",27,4,14,4,49,8,6.125
"34","V18A","A","25°",11,10,16,10,47,7,6.71428571428571
"35","V18A","B","25°",15,15,19,12,61,7,8.71428571428571
"36","V18A","C","25°",1,1,5,1,8,7,1.14285714285714
"37","V18A","D","25°",3,21,13,24,61,7,8.71428571428571
"38","V18A","E","25°",0,0,0,0,0,7,0
"39","V18A","F","25°",4,2,3,2,11,7,1.57142857142857
"40","V19A","A","25°",11,13,6,10,40,9,4.44444444444444
"41","V19A","B","25°",20,21,35,22,98,9,10.8888888888889
"42","V19A","C","25°",19,23,17,24,83,9,9.22222222222222
"43","V19A","D","25°",45,8,5,16,74,9,8.22222222222222
"44","V19A","E","25°",9,4,13,4,30,9,3.33333333333333
"45","V19A","F","25°",0,2,0,1,3,9,0.333333333333333
"46","V1A","A","20°",113,117,125,128,483,10,48.3
"47","V1A","B","20°",74,89,87,102,352,10,35.2
"48","V1A","C","20°",63,67,78,76,284,10,28.4
"49","V1A","D","20°",28,9,12,10,59,10,5.9
"50","V1A","E","20°",2,0,4,2,8,10,0.8
"51","V1A","F","20°",10,2,12,15,39,10,3.9
"52","V2A","A","20°",84,71,87,81,323,10,32.3
"53","V2A","B","20°",66,53,71,56,246,10,24.6
"54","V2A","C","20°",9,8,5,12,34,10,3.4
"55","V2A","D","20°",33,2,6,11,52,10,5.2
"56","V2A","E","20°",52,17,28,25,122,10,12.2
"57","V2A","F","20°",0,0,0,0,0,10,0
"58","V3A","A","20°",8,12,20,15,55,7,7.85714285714286
"59","V3A","B","20°",20,32,53,40,145,7,20.7142857142857
"60","V3A","C","20°",19,9,17,11,56,7,8
"61","V3A","F","20°",40,32,46,38,156,7,22.2857142857143
"62","V4A","A","20°",27,37,40,32,136,10,13.6
"63","V4A","B","20°",0,0,0,0,0,10,0
"64","V4A","C","20°",9,16,12,13,50,10,5
"65","V4A","D","20°",42,36,67,57,202,10,20.2
"66","V4A","E","20°",3,5,9,5,22,10,2.2
"67","V4A","F","20°",0,0,0,0,0,10,0
"68","V5A","A","20°",121,123,142,134,520,10,52
"69","V5A","B","20°",59,66,46,66,237,10,23.7
"70","V5A","C","20°",36,28,28,29,121,10,12.1
"71","V5A","D","20°",15,12,56,15,98,10,9.8
"72","V5A","E","20°",12,4,10,1,27,10,2.7
"73","V5A","F","20°",0,0,0,0,0,10,0
"74","V6A","A","25°",73,78,59,71,281,10,28.1
"75","V6A","B","25°",93,106,135,123,457,10,45.7
"76","V6A","D","25°",23,15,16,7,61,10,6.1
"77","V6A","E","25°",27,19,21,15,82,10,8.2
"78","V6A","F","25°",0,0,0,0,0,10,0
"79","V7A","A","25°",65,73,65,71,274,10,27.4
"80","V7A","B","25°",32,45,25,43,145,10,14.5
"81","V7A","C","25°",9,3,2,3,17,10,1.7
"82","V7A","D","25°",25,1,13,2,41,10,4.1
"83","V7A","E","25°",11,10,7,5,33,10,3.3
"84","V7A","F","25°",0,0,0,0,0,10,0
"85","V8A","A","25°",60,77,77,65,279,10,27.9
"86","V8A","B","25°",78,90,94,108,370,10,37
"87","V8A","C","25°",17,2,2,4,25,10,2.5
"88","V8A","D","25°",65,18,48,40,171,10,17.1
"89","V8A","E","25°",29,21,69,39,158,10,15.8
"90","V9A","A","25°",83,96,106,86,371,10,37.1
"91","V9A","B","25°",96,105,90,113,404,10,40.4
"92","V9A","C","25°",1,4,1,2,8,10,0.8
"93","V9A","E","25°",2,0,1,0,3,10,0.3
