"","F1.Vial","Day","Treatment","Numbfemales.sum","male.sum","num_co.sum","SCO_2.sum","SCO_3.sum","DCO_3.sum","NCO.sum","total_offspring","mf_ratio","Num_moms","fecundity"
"1",10,"A","21",428,351,234,35,50,29,60,779,0.820093457943925,5,155.8
"2",10,"B","21",347,292,193,29,39,22,46,639,0.84149855907781,5,127.8
"3",10,"C","21",229,176,167,33,40,21,18,405,0.768558951965066,5,81
"4",10,"D","21",190,150,135,20,28,20,21,340,0.789473684210526,5,68
"5",11,"A","21",136,124,90,11,13,11,18,260,0.911764705882353,5,52
"6",11,"B","21",138,98,65,11,17,8,20,236,0.710144927536232,5,47.2
"7",11,"C","21",88,62,59,13,16,9,10,150,0.704545454545455,5,30
"8",11,"D","21",95,76,56,9,16,7,13,171,0.8,5,34.2
"9",15,"A","21",277,189,126,14,32,11,27,466,0.682310469314079,5,93.2
"10",15,"B","21",294,209,127,17,29,12,36,503,0.710884353741497,5,100.6
"11",15,"C","21",194,155,155,24,30,24,17,349,0.798969072164949,5,69.8
"12",15,"D","21",146,131,117,15,28,18,24,277,0.897260273972603,5,55.4
"13",17,"A","26",237,202,135,23,32,17,35,439,0.852320675105485,5,87.8
"14",17,"B","26",155,122,101,14,21,12,16,277,0.787096774193548,5,55.4
"15",17,"C","26",99,112,99,16,23,12,11,211,1.13131313131313,5,42.2
"16",17,"D","26",125,86,64,10,20,9,17,211,0.688,5,42.2
"17",25,"A","26",154,121,82,18,18,9,15,275,0.785714285714286,5,55
"18",25,"B","26",83,108,72,12,16,7,15,191,1.30120481927711,5,38.2
"19",25,"C","26",93,89,81,13,21,6,8,182,0.956989247311828,5,36.4
"20",25,"D","26",81,77,63,8,13,7,12,158,0.950617283950617,5,31.6
"21",29,"A","26",165,177,133,16,20,11,28,342,1.07272727272727,5,68.4
"22",29,"B","26",157,118,70,13,13,7,18,275,0.751592356687898,5,55
"23",29,"C","26",90,93,78,12,15,15,12,183,1.03333333333333,5,36.6
"24",29,"D","26",66,56,52,10,12,7,9,122,0.848484848484849,5,24.4
"25",32,"A","26",78,98,63,9,13,6,19,176,1.25641025641026,5,35.2
"26",32,"B","26",175,103,66,13,18,9,19,278,0.588571428571429,5,55.6
"27",32,"C","26",88,65,61,12,15,8,7,153,0.738636363636364,5,30.6
"28",32,"D","26",91,53,47,5,13,8,9,144,0.582417582417582,5,28.8
"29",33,"A","26",159,162,139,11,21,17,18,321,1.0188679245283,5,64.2
"30",33,"B","26",155,112,72,9,19,9,18,267,0.72258064516129,5,53.4
"31",33,"C","26",88,74,69,17,17,10,11,162,0.840909090909091,5,32.4
"32",33,"D","26",92,43,38,6,12,5,8,135,0.467391304347826,5,27
"33",8,"A","21",435,415,311,38,66,41,69,850,0.954022988505747,5,170
"34",8,"B","21",420,262,187,25,35,18,41,682,0.623809523809524,5,136.4
"35",8,"C","21",239,251,200,40,49,22,24,490,1.05020920502092,5,98
"36",8,"D","21",161,164,135,26,32,17,26,325,1.01863354037267,5,65
"37",9,"A","21",329,297,264,29,41,29,37,626,0.90273556231003,5,125.2
"38",9,"B","21",368,307,202,26,52,25,45,675,0.834239130434783,5,135
"39",9,"C","21",351,219,199,33,48,27,25,570,0.623931623931624,5,114
"40",9,"D","21",295,212,174,33,38,24,31,507,0.71864406779661,5,101.4
