Vial,Day,Numbfemales,Date,Initials,Notes
1,A,22,10/22,UHA,
2,A,27,10/22,UHA,
5,A,25,10/22,UHA,
6,A,17,10/22,UHA,
9,A,15,10/22,UHA,
10,A,12,10/22,UHA,
11,A,12,10/22,UHA,
12,A,25,10/22,UHA,
13,A,22,10/22,UHA,
15,A,13,10/22,UHA,
17,A,11,10/22,UHA,
18,A,10,10/22,UHA,
9,A,13,10/22,UHA,
7,A,15,10/22,UHA,
5,A,14,10/22,UHA,
2,A,10,10/22,UHA,
10,A,5,10/22,UHA,
1,A,10,10/22,UHA,
2,A,2,10/22,UHA,
5,A,1,10/22,UHA,
6,A,10,10/22,UHA,
7,A,2,10/22,UHA,
8,A,5,10/22,UHA,
9,A,7,10/22,UHA,
10,A,3,10/22,UHA,
11,A,5,10/22,UHA,
12,A,10,10/22,UHA,
13,A,14,10/22,UHA,
15,A,22,10/22,UHA,
16,A,25,10/22,UHA,
17,A,21,10/22,UHA,
21,A,11,10/22,AKT,
25,B,7,10/26,AKT,
26,B,10,10/26,AKT,
29,B,25,10/26,AKT,
30,B,19,10/26,AKT,
22,B,28,10/26,AKT,
2,B,10,10/26,UHA,
7,B,10,10/26,UHA,
8,B,13,10/26,UHA,
5,A,19,10/23,ABK,
1,A,15,10/23,ABK,
2,A,9,10/23,ABK,one dead in food
10,A,16,10/23,ABK,
9,A,13,10/23,ABK,
7,A,11,10/23,ABK,
12,A,11,10/23,ABK,
13,A,23,10/23,ABK,
15,A,11,10/23,ABK,one dead in food
16,A,12,10/23,ABK,one dead in food
18,A,23,10/23,ABK,
19,A,6,10/23,ABK,two dead in food
20,A,12,10/23,ABK,one dead in food
21,A,19,10/23,ABK,
22,A,18,10/23,ABK,one dead in food
25,A,10,10/24,HNT,
23,A,14,10/24,HNT,
29,A,9,10/24,HNT,
24,A,17,10/24,HNT,
22,A,1,10/24,HNT,a lot of flies stuck/dead in food/food fell out and stuck to flies
26,A,4,10/24,HNT,
21,A,13,10/24,HNT,
19,A,10,10/24,HNT,
18,A,7,10/24,HNT,
1,A,12,10/24,HNT,
2,A,8,10/24,HNT,
44,A,21,10/26,HNT,
45,A,12,10/26,HNT,a lot of flies stuck/dead in food/food fell out and stuck to flies
39,A,8,10/26,HNT,
20,A,10,10/26,HNT,
18,A,6,10/26,HNT,
17,A,19,10/26,HNT,
15,A,9,10/26,HNT,
23,A,5,10/26,HNT,
13,A,3,10/26,HNT,
41,A,25,10/26,HNT,
37,A,11,10/26,HNT,
24,A,2,10/26,HNT,
34,A,9,10/26,HNT,a lot of flies stuck/dead in food/food fell out and stuck to flies
35,A,26,10/26,HNT,
20,A,27,10/22,HNT,
23,A,29,10/22,HNT,
19,A,41,10/22,HNT,
18,A,14,10/22,HNT,
21,A,27,10/22,HNT,
7,B,8,10/23,KEW,
1,A,13,10/23,KEW,
8,A,7,10/23,KEW,
9,A,7,10/23,KEW,
1,A,3,10/23,KEW,
2,A,14,10/23,KEW,
5,A,19,10/23,KEW,
6,A,19,10/23,KEW,
7,A,11,10/23,KEW,
34,A,20,10/23,HNT,
35,A,17,10/23,HNT,
6,A,8,10/23,HNT,
8,A,13,10/23,HNT,
25,A,12,10/23,HNT,
32,A,16,10/23,HNT,
24,A,15,10/23,HNT,
48,A,9,10/23,HNT,
30,A,13,10/23,HNT,
37,A,20,10/23,HNT,
59,A,8,10/23,HNT,
23,A,3,10/23,HNT,
58,A,20,10/23,HNT,
29,A,5,10/23,HNT,
17,A,3,10/23,HNT,
26,A,9,10/23,HNT,
31,A,25,10/23,HNT,
35,A,31,10/24,ABK,
49,A,15,10/24,ABK,
37,A,20,10/24,ABK,one dead in food
41,A,28,10/24,ABK,
36,A,23,10/24,ABK,
34,A,29,10/24,ABK,
30,A,8,10/24,ABK,
38,A,17,10/24,ABK,
45,A,11,10/24,ABK,
44,A,9,10/24,ABK,
17,A,12,10/24,UHA,
16,A,22,10/24,UHA,
15,A,17,10/24,UHA,
13,A,15,10/24,UHA,
12,A,14,10/24,UHA,
10,A,8,10/24,UHA,
9,A,5,10/24,UHA,
8,A,18,10/24,UHA,
7,A,12,10/24,UHA,
8,B,8,10/24,UHA,
9,B,10,10/24,UHA,
12,B,8,10/24,UHA,
15,B,13,10/24,UHA,
16,B,12,10/24,UHA,
17,B,8,10/24,UHA,
18,B,10,10/24,UHA,
19,B,5,10/24,UHA,
20,B,3,10/24,UHA,
22,B,1,10/24,UHA,
10,B,5,10/24,UHA,
16,B,4,10/24,UHA,
18,B,6,10/24,UHA,
26,B,5,10/24,UHA,
29,B,3,10/24,UHA,
32,A,12,10/25,ABK,
31,A,15,10/25,ABK,3 dead in food
48,A,20,10/25,ABK,
39,A,33,10/25,ABK,3 dead in food
43,A,25,10/25,ABK,
1,A,5,10/25,ABK,3 dead in food
2,A,16,10/25,ABK,
5,A,2,10/25,ABK,
7,A,35,10/25,ABK,
1,B,28,10/26,UHA,
13,B,12,10/26,UHA,
10,B,8,10/26,UHA,
15,B,28,10/26,UHA,20 flies stuck
16,B,19,10/26,UHA,
12,B,20,10/26,UHA,1 dead fly
2,B,32,10/26,UHA,
5,B,32,10/26,UHA,
6,B,28,10/26,UHA,6 deads
7,B,40,10/26,UHA,
8,B,18,10/26,UHA,
9,B,30,10/26,UHA,
17,B,28,10/26,UHA,
18,B,19,10/26,UHA,
19,B,17,10/26,UHA,
20,B,17,10/26,UHA,2 dead
30,B,14,10/26,UHA,8 dead
30,B,10,10/26,UHA,
29,B,19,10/26,UHA,5 deads
26,B,14,10/26,UHA,2 dead
25,B,18,10/26,UHA,1 dead
24,B,20,10/26,UHA,12 deads
24,B,10,10/26,UHA,
23,B,17,10/26,UHA,10 deads
8,B,23,10/26,UHA,
22,B,18,10/26,UHA,
21,A,13,10/26,UHA,
48,A,10,10/26,UHA,3 deads
49,A,17,10/26,UHA,2 deads
43,A,29,10/26,ABK,3 dead
19,A,19,10/26,ABK,
16,A,8,10/26,ABK,
31,A,27,10/26,ABK,2 dead
38,A,31,10/26,ABK,
36,A,21,10/26,ABK,2 dead
32,A,28,10/26,ABK,8 dead
29,B,4,10/26,AKT,
37,B,7,10/26,AKT,
36,B,17,10/26,AKT,
35,B,20,10/26,AKT,
34,B,32,10/26,AKT,
32,B,24,10/26,AKT,
31,B,20,10/26,AKT,
21,B,16,10/26,AKT,
22,B,7,10/26,AKT,
22,B,37,10/26,AKT,
21,B,8,10/26,AKT,
12,B,7,10/26,AKT,
17,B,10,10/26,AKT,
21,A,10,10/27,UHA,
41,A,17,10/27,UHA,
19,A,4,10/27,UHA,
18,A,3,10/27,UHA,
38,A,19,10/27,UHA,
35,A,17,10/27,UHA,
34,A,12,10/27,UHA,
16,A,1,10/27,UHA,
32,A,7,10/27,UHA,
10,A,3,10/27,UHA,
30,A,2,10/27,UHA,
8,A,5,10/27,UHA,
31,A,18,10/27,UHA,
45,A,9,10/27,UHA,
7,A,13,10/27,UHA,
49,A,5,10/27,UHA,
48,A,15,10/27,UHA,
1,A,1,10/27,UHA,
2,A,4,10/27,UHA,
39,B,16,10/26,NRR,
49,B,9,10/26,NRR,
44,C,12,10/26,NRR,
1,C,10,10/26,NRR,
34,C,8,10/26,NRR,
26,C,8,10/26,NRR,
37,C,5,10/26,NRR,
36,C,5,10/26,NRR,
25,C,9,10/26,NRR,
7,C,13,10/26,NRR,
5,C,12,10/26,NRR,
2,C,14,10/26,NRR,
1,C,10,10/26,NRR,
8,C,7,10/26,NRR,
9,C,5,10/26,NRR,
13,C,10,10/26,NRR,
12,C,8,10/26,NRR,
30,C,12,10/27,NRR,
1,B,36,10/27,NRR,
2,B,5,10/27,NRR,
5,B,3,10/27,NRR,
6,B,23,10/27,NRR,
7,B,16,10/27,NRR,
8,B,8,10/27,NRR,
9,B,10,10/27,NRR,
12,B,10,10/27,NRR,
13,B,11,10/27,NRR,
15,B,7,10/27,NRR,
16,B,11,10/27,NRR,
17,B,8,10/27,NRR,
18,B,17,10/27,NRR,
19,B,7,10/27,NRR,
22,B,6,10/27,NRR,
24,B,13,10/27,NRR,
25,B,11,10/27,NRR,
29,B,4,10/27,NRR,
32,B,17,10/27,NRR,
25,A,6,10/27,UHA,
43,A,7,10/27,UHA,
25,A,5,10/27,UHA,
22,A,10,10/27,UHA,
44,A,7,10/27,UHA,
26,A,3,10/27,UHA,
49,B,13,10/27,UHA,
34,B,15,10/27,UHA,
35,B,12,10/27,UHA,
36,B,15,10/27,UHA,
49,B,10,10/27,UHA,
41,B,15,10/27,UHA,
31,B,23,10/27,UHA,
48,B,10,10/27,UHA,
43,B,12,10/27,UHA,
44,B,15,10/27,UHA,
45,B,5,10/27,UHA,
2,B,13,10/28,KEW,
5,B,12,10/30,KEW,
6,B,7,10/30,KEW,
7,B,8,10/30,KEW,
8,B,8,10/30,KEW,
9,B,3,10/30,KEW,
12,B,8,10/30,KEW,
15,B,6,10/30,KEW,
16,B,9,10/30,KEW,
17,B,15,10/30,KEW,
18,B,11,10/30,KEW,
19,B,13,10/30,KEW,
20,B,6,10/30,KEW,
21,B,9,10/30,KEW,
22,B,3,10/30,KEW,
24,B,1,10/30,KEW,
25,B,2,10/30,KEW,
26,B,3,10/30,KEW,
37,B,6,10/30,KEW,
29,B,4,10/30,KEW,
30,B,8,10/30,KEW,
31,B,12,10/30,KEW,
37,B,10,10/30,KEW,
44,B,5,10/30,KEW,
48,B,4,10/30,KEW,
20,A,10,10/28,UHA,
31,A,5,10/28,UHA,
32,A,3,10/28,UHA,
43,A,4,10/28,UHA,
22,A,8,10/28,UHA,
11,A,1,10/28,UHA,
38,A,1,10/28,UHA,
17,A,2,10/28,UHA,
48,A,15,10/28,UHA,
44,A,10,10/28,UHA,
7,A,10,10/28,UHA,
41,A,5,10/28,UHA,
21,A,6,10/28,UHA,
41,B,17,10/28,UHA,
39,B,15,10/28,UHA,
48,B,12,10/28,UHA,
44,B,15,10/28,UHA,
49,B,8,10/28,UHA,
43,B,22,10/28,UHA,
39,B,18,10/28,UHA,
36,B,13,10/28,UHA,
34,B,13,10/28,UHA,
44,A,2,10/29,ABK,1 dead
45,A,3,10/29,ABK,2 dead
49,A,4,10/29,ABK,2 dead
35,A,1,10/29,ABK,1 dead
48,A,4,10/29,ABK,
7,A,4,10/30,ABK,1 dead
8,A,3,10/30,ABK,1 dead
22,A,3,10/30,ABK,1 dead
31,A,2,10/30,ABK,2 dead
34,A,6,10/30,ABK,
1,D,14,10/30,AFB,
16,D,8,10/30,AFB,
2,D,5,10/30,HNT,
23,D,5,10/30,HNT,
5,D,15,10/30,HNT,
13,D,13,10/30,AFB,
22,D,13,10/30,HNT,
19,D,9,10/30,HNT,
17,D,9,10/30,HNT,
12,D,4,10/30,HNT,
9,D,10,10/30,HNT,
6,D,6,10/30,HNT,
7,D,14,10/30,HNT,
29,D,5,10/30,HNT,
30,C,7,10/28,NRR,
24,C,14,10/28,NRR,
15,C,13,10/28,NRR,
20,C,13,10/28,NRR,
16,C,12,10/28,NRR,
17,C,13,10/28,NRR,
18,C,23,10/28,NRR,
21,C,7,10/28,NRR,
19,C,17,10/28,NRR,
2,C,2,10/28,NRR,
9,C,14,10/28,NRR,
12,C,26,10/28,NRR,
5,C,10,10/28,NRR,
13,C,16,10/28,NRR,
7,C,7,10/28,NRR,
6,C,13,10/28,NRR,
25,C,10,10/28,NRR,
1,C,8,10/28,NRR,
23,C,4,10/28,NRR,
8,C,8,10/28,NRR,
26,C,10,10/28,NRR,
22,C,17,10/28,NRR,
34,C,11,10/28,NRR,
32,C,5,10/28,NRR,
29,C,7,10/28,NRR,
36,C,10,10/28,NRR,
1,D,6,10/29,AFB,
5,D,4,10/29,AFB,
6,D,8,10/29,AFB,
9,D,11,10/29,AFB,
12,D,15,10/29,AFB,
13,D,6,10/29,AFB,
26,B,3,10/29,,
12,B,5,10/29,,
8,B,5,10/29,,
23,B,10,10/29,,
9,B,5,10/29,,
12,B,3,10/29,,
