Date,ViaNumber,Day,numbMales,ct,sd,y,se,Initials,Notes
Eki.21,9,A,2,1,1,1,0,HNT,
Eki.21,9,A,5,0,0,0,0,HNT,
Eki.21,9,A,2,1,1,1,1,HNT,
Eki.21,9,A,2,1,1,0,0,HNT,
Eki.21,9,A,2,0,0,1,0,HNT,
Eki.21,9,A,1,0,0,0,1,HNT,
Eki.21,9,A,1,0,1,1,1,HNT,
Eki.21,7,A,1,0,0,0,1,HNT,
Eki.21,1,A,2,0,0,0,0,HNT,
Eki.21,7,A,3,0,0,1,0,HNT,
Eki.21,5,A,3,1,1,1,1,HNT,
Eki.21,5,A,2,1,1,1,0,HNT,
Eki.21,5,A,2,1,1,0,0,HNT,
Eki.21,5,A,1,0,0,0,1,HNT,
Eki.21,5,A,1,0,1,1,0,HNT,
Eki.21,5,A,2,0,0,0,0,HNT,
Eki.21,5,A,2,0,0,0,1,HNT,
Eki.21,5,A,1,0,1,0,1,HNT,
Eki.21,2,A,1,0,0,1,0,HNT,
Eki.21,2,A,4,0,0,0,0,HNT,
Eki.21,2,A,2,0,0,1,1,HNT,
Eki.21,2,A,2,1,1,1,0,HNT,
Eki.21,2,A,1,0,1,0,0,HNT,
Eki.21,2,A,1,0,1,0,1,HNT,
Eki.21,2,A,2,1,1,1,1,HNT,
Eki.21,2,A,1,0,0,1,0,HNT,
Eki.21,10,A,1,0,1,1,1,HNT,
Eki.21,10,A,2,0,0,0,0,HNT,
Eki.21,10,A,1,1,1,0,0,HNT,
Eki.21,10,A,2,1,1,1,1,HNT,
Eki.21,10,A,1,0,0,0,1,HNT,
Eki.21,1,A,1,0,1,0,0,HNT,
Eki.21,1,A,6,0,0,0,1,HNT,
Eki.21,1,A,1,1,1,1,1,HNT,
Eki.21,1,A,1,0,0,1,1,HNT,
Eki.21,1,A,1,0,0,0,0,HNT,
Eki.21,15,A,4,0,0,0,0,HNT,
Eki.21,15,A,3,1,1,1,0,HNT,
Eki.21,15,A,3,0,0,0,1,HNT,
Eki.21,15,A,1,1,1,1,1,HNT,
Eki.21,11,A,2,1,1,1,1,HNT,
Eki.21,11,A,3,0,0,0,1,HNT,
Eki.21,11,A,1,0,1,0,0,HNT,
Eki.21,11,A,2,0,0,0,0,HNT,
Eki.21,11,A,2,0,0,1,1,HNT,
Eki.21,11,A,1,0,1,1,1,HNT,
Eki.21,1,A,1,0,0,0,0,HNT,
Eki.21,2,A,2,1,1,1,1,HNT,
Eki.21,2,A,1,0,1,0,1,HNT,
Eki.21,2,A,3,0,0,0,0,HNT,
Eki.21,2,A,2,1,1,1,0,HNT,
Eki.21,5,A,1,0,1,1,1,HNT,
Eki.21,1,A,1,0,0,0,0,HNT,
Eki.21,5,A,1,0,0,0,1,HNT,
Eki.21,6,A,4,0,0,0,1,HNT,
Eki.21,6,A,3,1,1,1,0,HNT,
Eki.21,6,A,1,0,1,0,1,HNT,
Eki.21,6,A,1,0,1,0,0,HNT,
Eki.21,9,A,1,0,0,1,0,HNT,
Eki.21,9,A,1,0,1,1,1,HNT,
Eki.21,9,A,2,0,0,0,0,HNT,
Eki.21,9,A,1,0,0,1,1,HNT,
Eki.21,9,A,1,0,1,0,0,HNT,
Eki.21,9,A,1,1,1,1,0,HNT,
Eki.21,10,A,1,1,1,0,0,HNT,
Eki.21,10,A,1,0,0,0,0,HNT,
Eki.21,12,A,1,0,0,0,0,HNT,
Eki.21,1,A,2,0,0,1,0,HNT,
Eki.21,12,A,3,1,1,1,0,HNT,
Eki.21,13,A,1,1,1,1,1,HNT,
Eki.21,13,A,2,0,1,1,1,HNT,
Eki.21,13,A,1,0,1,1,0,HNT,
Eki.21,13,A,1,0,0,1,1,HNT,
Eki.21,13,A,1,0,0,1,0,HNT,
Eki.21,13,A,1,1,1,1,0,HNT,
Eki.21,13,A,2,0,0,0,0,HNT,
Eki.21,15,A,3,0,0,0,0,HNT,
Eki.21,17,A,4,0,0,0,1,HNT,
Eki.21,17,A,2,0,0,0,0,HNT,
Eki.22,1,A,1,0,0,1,0,HNT,
Eki.22,1,A,1,0,0,1,1,HNT,
Eki.22,2,A,2,0,0,0,0,HNT,
Eki.22,2,A,1,0,0,0,1,HNT,
Eki.22,2,A,1,1,1,1,0,HNT,
Eki.22,5,A,1,0,0,0,1,HNT,
Eki.22,5,A,1,0,0,1,1,HNT,
Eki.22,5,A,1,0,0,0,0,HNT,
Eki.22,6,A,1,0,0,0,0,HNT,
Eki.22,6,A,1,1,1,0,0,HNT,
Eki.22,6,A,1,0,0,1,1,HNT,
Eki.22,6,A,1,1,1,1,0,HNT,
Eki.22,9,A,2,0,0,0,0,HNT,
Eki.22,9,A,1,1,1,1,1,HNT,
Eki.22,10,A,1,0,0,0,1,HNT,
Eki.22,10,A,1,0,0,0,0,HNT,
Eki.22,11,A,2,0,1,1,0,HNT,
Eki.22,11,A,2,1,1,1,0,HNT,
Eki.22,11,A,1,0,0,1,1,HNT,
Eki.22,11,A,1,1,1,1,1,HNT,
Eki.22,12,A,1,1,1,1,0,HNT,
Eki.22,12,A,1,0,1,1,1,HNT,
Eki.22,12,A,4,1,1,1,1,HNT,
Eki.22,12,A,5,0,0,0,0,HNT,
Eki.22,12,A,2,0,0,0,1,HNT,
Eki.22,12,A,2,0,0,1,1,HNT,
Eki.22,13,A,2,0,0,0,1,HNT,
Eki.22,13,A,1,0,0,1,1,HNT,
Eki.22,13,A,3,1,1,1,0,HNT,
Eki.22,13,A,1,1,1,0,0,HNT,
Eki.22,13,A,1,1,1,1,1,HNT,
Eki.22,13,A,4,0,0,0,0,HNT,
Eki.22,13,A,2,0,1,1,1,HNT,
Eki.22,13,A,1,0,0,1,0,HNT,
Eki.22,15,A,4,0,0,0,0,HNT,
Eki.22,15,A,1,0,1,1,1,HNT,
Eki.22,15,A,3,1,1,0,0,HNT,
Eki.22,15,A,1,1,1,1,0,HNT,
Eki.22,15,A,1,0,0,1,0,HNT,
Eki.22,15,A,1,0,0,0,1,HNT,
Eki.23,8,B,1,0,0,0,0,KEW,
Eki.23,8,B,1,0,0,0,0,KEW,
Eki.23,8,B,1,1,1,1,1,KEW,
Eki.23,9,B,1,1,1,0,0,KEW,
Eki.23,1,B,1,1,0,1,0,KEW,
Eki.23,1,B,1,1,1,1,0,KEW,
Eki.23,1,B,1,1,1,1,1,KEW,
Eki.23,1,B,1,1,1,1,0,KEW,
Eki.23,1,B,1,0,1,1,1,KEW,
Eki.23,1,B,1,1,0,1,1,KEW,
Eki.23,1,B,1,1,1,0,1,KEW,
Eki.23,1,B,1,0,0,0,0,KEW,
Eki.23,2,B,1,0,0,0,0,KEW,
Eki.23,2,B,1,0,0,0,1,KEW,
