"","F1.Vial","Day","Treatment","Numbfemales.sum","male.sum","num_co.sum","SCO_2.sum","SCO_3.sum","DCO_2.sum","total_offspring","mf_ratio","Num_moms","fecundity"
"1",10,"V","21",152,181,130,12,25,13,333,1.19078947368421,12,27.75
"2",10,"W","21",86,70,49,9,11,7,156,0.813953488372093,12,13
"3",10,"X","21",229,123,88,12,27,13,352,0.537117903930131,12,29.3333333333333
"4",10,"Y","21",210,149,121,20,25,15,359,0.70952380952381,12,29.9166666666667
"5",10,"Z","21",100,86,51,8,17,7,186,0.86,12,15.5
"6",11,"V","21",218,178,111,20,17,8,396,0.81651376146789,12,33
"7",11,"W","21",98,109,84,11,18,11,207,1.11224489795918,12,17.25
"8",11,"X","21",89,126,94,16,18,11,215,1.41573033707865,12,17.9166666666667
"9",11,"Y","21",106,109,72,12,23,11,215,1.02830188679245,12,17.9166666666667
"10",11,"Z","21",174,130,94,15,21,11,304,0.747126436781609,12,25.3333333333333
"11",15,"V","21",207,197,130,16,24,17,404,0.951690821256039,12,33.6666666666667
"12",15,"W","21",101,128,114,16,21,12,229,1.26732673267327,12,19.0833333333333
"13",15,"X","21",103,166,146,18,23,23,269,1.61165048543689,12,22.4166666666667
"14",15,"Y","21",160,115,85,15,18,12,275,0.71875,12,22.9166666666667
"15",15,"Z","21",159,153,101,15,22,9,312,0.962264150943396,12,26
"16",25,"V","26",185,139,72,8,20,10,324,0.751351351351351,13,24.9230769230769
"17",25,"W","26",69,67,50,8,11,4,136,0.971014492753623,13,10.4615384615385
"18",25,"X","26",110,127,102,16,18,13,237,1.15454545454545,13,18.2307692307692
"19",25,"Y","26",101,75,64,9,14,10,176,0.742574257425743,13,13.5384615384615
"20",25,"Z","26",123,105,76,11,16,10,228,0.853658536585366,13,17.5384615384615
"21",29,"V","26",133,82,54,11,11,7,215,0.616541353383459,12,17.9166666666667
"22",29,"W","26",46,54,45,5,9,7,100,1.17391304347826,12,8.33333333333333
"23",29,"X","26",105,125,110,11,12,18,230,1.19047619047619,12,19.1666666666667
"24",29,"Y","26",60,57,41,9,9,4,117,0.95,12,9.75
"25",29,"Z","26",212,171,126,22,23,16,383,0.806603773584906,12,31.9166666666667
"26",30,"V","26",92,54,34,5,9,3,146,0.58695652173913,12,12.1666666666667
"27",30,"W","26",52,45,42,3,7,9,97,0.865384615384615,12,8.08333333333333
"28",30,"X","26",70,53,29,7,7,4,123,0.757142857142857,12,10.25
"29",30,"Y","26",50,37,26,7,3,2,87,0.74,12,7.25
"30",30,"Z","26",50,51,42,9,7,4,101,1.02,12,8.41666666666667
"31",31,"V","26",85,93,70,6,15,9,178,1.09411764705882,5,35.6
"32",31,"W","26",19,33,18,6,4,1,52,1.73684210526316,5,10.4
"33",31,"X","26",39,39,32,5,11,5,78,1,5,15.6
"34",31,"Y","26",51,33,30,7,6,4,84,0.647058823529412,5,16.8
"35",31,"Z","26",43,40,26,4,8,3,83,0.930232558139535,5,16.6
"36",32,"V","26",152,104,60,10,21,7,256,0.684210526315789,12,21.3333333333333
"37",32,"W","26",45,84,56,8,16,6,129,1.86666666666667,12,10.75
"38",32,"X","26",101,83,60,12,12,7,184,0.821782178217822,12,15.3333333333333
"39",32,"Y","26",94,81,66,13,12,12,175,0.861702127659574,12,14.5833333333333
"40",32,"Z","26",161,152,106,13,21,14,313,0.944099378881988,12,26.0833333333333
"41",37,"V","26",20,15,7,0,4,1,35,0.75,5,7
"42",37,"W","26",12,13,10,2,2,2,25,1.08333333333333,5,5
"43",37,"X","26",47,15,12,1,3,3,62,0.319148936170213,5,12.4
"44",37,"Y","26",28,13,12,2,5,1,41,0.464285714285714,5,8.2
"45",37,"Z","26",39,44,28,4,6,5,83,1.12820512820513,5,16.6
"46",6,"V","21",102,109,69,7,16,7,211,1.06862745098039,12,17.5833333333333
"47",6,"W","21",61,53,47,8,12,6,114,0.868852459016393,12,9.5
"48",6,"X","21",173,118,77,10,17,10,291,0.682080924855491,12,24.25
"49",6,"Y","21",100,109,73,12,18,7,209,1.09,12,17.4166666666667
"50",6,"Z","21",77,67,50,6,12,7,144,0.87012987012987,12,12
"51",8,"V","21",173,122,90,15,15,7,295,0.705202312138728,12,24.5833333333333
"52",8,"W","21",31,41,30,5,9,1,72,1.32258064516129,12,6
"53",8,"X","21",75,79,69,8,17,13,154,1.05333333333333,12,12.8333333333333
"54",8,"Y","21",107,72,60,5,12,8,179,0.672897196261682,12,14.9166666666667
"55",8,"Z","21",71,49,34,4,11,5,120,0.690140845070423,12,10
"56",9,"V","21",196,179,118,14,31,12,375,0.913265306122449,10,37.5
"57",9,"W","21",20,40,27,0,13,3,60,2,10,6
"58",9,"X","21",168,137,92,12,20,16,305,0.81547619047619,10,30.5
"59",9,"Y","21",102,76,43,9,12,5,178,0.745098039215686,10,17.8
"60",9,"Z","21",204,154,115,19,27,12,358,0.754901960784314,10,35.8
