Vial,Day,Numbfemales,Date,Initials,Notes
14,V,16,26/10,UHA,
13,V,3,26/10,UHA,
11,V,11,26/10,UHA,
9,V,15,26/10,UHA,
8,V,16,26/10,UHA,
6,V,14,26/10,UHA,
5,V,8,26/10,UHA,
2,V,18,26/10,AKT,
3,V,5,26/10,AKT,
4,V,16,26/10,AKT,
19,V,15,26/10,AKT,
18,V,10,26/10,AKT,
20,V,16,26/10,AKT,
21,V,5,26/10,AKT,
23,V,6,26/10,AKT,
26,V,7,26/10,AKT,
9,V,12,27/10,UHA,
8,V,10,27/10,UHA,
6,V,15,27/10,UHA,
5,V,20,27/10,UHA,
4,V,22,27/10,UHA,
3,V,5,27/10,UHA,
2,V,18,27/10,UHA,
11,V,15,27/10,UHA,
14,V,5,27/10,UHA,
19,V,2,27/10,UHA,
20,V,10,27/10,UHA,
21,V,1,27/10,UHA,
22,V,10,27/10,UHA,
23,V,3,27/10,UHA,
25,V,9,27/10,UHA,
47,V,16,27/10,AKT,
42,V,7,27/10,AKT,
41,V,13,27/10,AKT,
39,V,8,27/10,AKT,
38,V,6,27/10,AKT,
34,V,18,27/10,AKT,
33,V,12,27/10,AKT,
29,V,6,27/10,AKT,
26,V,6,27/10,AKT,
60,V,12,27/10,AKT,
49,V,4,27/10,AKT,
53,V,10,27/10,AKT,
54,V,11,27/10,AKT,
55,V,11,27/10,AKT,
56,V,11,27/10,AKT,
8,V,12,27/10,AKT,
21,V,15,27/10,AKT,
23,V,26,27/10,AKT,
6,V,19,27/10,AKT,
15,V,7,27/10,AKT,
11,V,10,27/10,AKT,
5,V,10,27/10,AKT,
13,V,10,27/10,AKT,
9,V,6,27/10,AKT,
19,V,25,27/10,AKT,
4,V,9,27/10,AKT,
11,V,9,28/10,HNT,
24,V,7,28/10,HNT,
14,V,14,28/10,HNT,
23,V,7,28/10,HNT,
13,V,13,28/10,HNT,
2,V,10,28/10,UHA,
4,V,13,28/10,UHA,
5,V,2,28/10,UHA,
8,V,19,28/10,UHA,
32,V,2,28/10,UHA,
30,V,11,28/10,UHA,over 20 dead flies
29,V,5,28/10,UHA,
28,V,19,28/10,UHA,10 dead flies
26,V,17,28/10,UHA,
25,V,15,28/10,UHA,
47,V,22,28/10,UHA,
45,V,8,28/10,UHA,
42,V,13,28/10,UHA,
11,V,3,28/10,UHA,
20,V,5,28/10,UHA,
23,V,3,28/10,UHA,
9,V,11,28/10,UHA,
33,V,5,28/10,UHA,
37,V,13,28/10,UHA,
34,V,8,28/10,UHA,
39,V,17,28/10,UHA,
38,V,20,28/10,UHA,
41,V,5,28/10,UHA,
40,V,5,28/10,UHA,
64,V,7,28/10,UHA,
84,V,6,28/10,UHA,
68,V,12,28/10,UHA,
65,V,6,28/10,UHA,
69,V,3,28/10,UHA,
85,V,6,28/10,UHA,
63,V,13,28/10,UHA,
60,V,12,28/10,UHA,
60,V,29,28/10,UHA,
57,V,3,28/10,UHA,
56,V,8,28/10,UHA,
55,V,5,28/10,UHA,
54,V,7,28/10,UHA,over 20 flies are dead
53,V,5,28/10,UHA,
52,V,8,28/10,UHA,
15,W,0,28/10,ABK,3 dead
13,W,1,28/10,ABK,1 dead
11,W,1,28/10,ABK,2 dead
9,W,0,28/10,ABK,
8,W,1,28/10,ABK,3 dead
6,W,5,28/10,ABK,12 dead
5,W,1,28/10,ABK,4 dead
4,W,3,28/10,ABK,3 dead
2,W,4,28/10,ABK,1 dead
47,W,8,28/10,ABK,
45,W,10,28/10,ABK,2 dead
42,W,7,28/10,ABK,
38,W,5,28/10,ABK,
35,W,10,28/10,ABK,
41,W,14,28/10,ABK,
33,W,9,28/10,ABK,1 dead
57,W,6,28/10,ABK,
63,W,8,28/10,ABK,
19,W,6,29/10,ABK,
56,W,13,29/10,ABK,
52,W,6,29/10,ABK,
21,W,1,29/10,ABK,
