"","F1.Vial","Day..letter.of.vial.","Treatment","SCO1.sum","SCO2.sum","NCO1.sum","NCO2.sum","total_offspring","Num_moms","fecundity"
"1","V10a","A",25,25,11,34,22,92,6,15.3333333333333
"2","V10a","B",25,53,17,37,19,126,6,21
"3","V10a","C",25,15,19,18,13,65,6,10.8333333333333
"4","V10a","D",25,3,4,1,7,15,6,2.5
"5","V1a","A",20,16,7,19,7,49,8,6.125
"6","V1a","B",20,41,31,31,44,147,8,18.375
"7","V1a","C",20,4,11,9,13,37,8,4.625
"8","V1a","D",20,3,7,7,9,26,8,3.25
"9","V2a","A",20,25,12,22,20,79,8,9.875
"10","V2a","B",20,14,33,22,25,94,8,11.75
"11","V2a","C",20,5,2,6,3,16,8,2
"12","V2a","D",20,0,1,1,0,2,8,0.25
"13","V3a","A",20,26,23,35,30,114,7,16.2857142857143
"14","V3a","B",20,63,55,58,66,242,7,34.5714285714286
"15","V3a","C",20,25,32,25,34,116,7,16.5714285714286
"16","V3a","D",20,19,17,13,24,73,7,10.4285714285714
"17","V5a","A",20,9,17,15,16,57,8,7.125
"18","V5a","B",20,49,36,24,40,149,8,18.625
"19","V5a","C",20,33,38,29,35,135,8,16.875
"20","V5a","D",20,15,10,15,12,52,8,6.5
"21","V6a","A",25,11,9,15,8,43,6,7.16666666666667
"22","V6a","B",25,22,26,35,32,115,6,19.1666666666667
"23","V6a","C",25,5,2,4,3,14,6,2.33333333333333
"24","V7a","A",25,8,10,14,11,43,6,7.16666666666667
"25","V7a","B",25,18,23,15,20,76,6,12.6666666666667
"26","V7a","C",25,3,8,9,9,29,6,4.83333333333333
"27","V7a","D",25,0,0,0,1,1,6,0.166666666666667
"28","V8a","A",25,35,13,18,18,84,6,14
"29","V8a","B",25,14,12,16,13,55,6,9.16666666666667
"30","V8a","C",25,5,5,7,6,23,6,3.83333333333333
"31","V8a","D",25,6,5,8,3,22,6,3.66666666666667
"32","V9a","A",25,25,12,13,18,68,6,11.3333333333333
"33","V9a","B",25,4,12,6,13,35,6,5.83333333333333
"34","V9a","C",25,4,11,11,5,31,6,5.16666666666667
"35","V9a","D",25,4,4,8,0,16,6,2.66666666666667
