Date,ViaNumber,Day,numbMales,ct,sd,y,se,Initials,Notes
9.Ara,1,A,1,1,1,1,1,HNT,
9.Ara,1,A,1,1,1,1,1,HNT,
9.Ara,1,A,1,1,1,1,1,HNT,
9.Ara,1,A,1,1,1,1,1,HNT,
9.Ara,8,A,1,1,1,1,1,HNT,
9.Ara,8,A,1,1,1,1,1,HNT,
9.Ara,8,A,1,1,1,1,0,HNT,
9.Ara,8,A,1,1,1,1,0,HNT,
9.Ara,8,A,1,0,0,0,0,HNT,WT
9.Ara,8,A,1,1,0,0,1,HNT,
9.Ara,59,A,1,0,1,0,0,HNT,
9.Ara,59,A,1,0,1,1,1,HNT,
9.Ara,59,A,1,0,1,1,0,HNT,
9.Ara,59,A,1,1,1,1,0,HNT,
9.Ara,59,A,1,1,1,1,0,HNT,
9.Ara,60,A,1,0,0,0,0,HNT,WT
9.Ara,60,A,1,0,0,0,0,HNT,WT
9.Ara,60,A,1,0,0,0,1,HNT,
9.Ara,60,A,1,1,1,0,0,HNT,
9.Ara,60,A,1,1,1,0,0,HNT,
9.Ara,60,A,1,1,1,1,0,HNT,
9.Ara,60,A,1,1,1,1,1,HNT,
9.Ara,55,A,1,0,0,0,0,HNT,WT
9.Ara,55,A,1,0,0,0,0,HNT,WT
9.Ara,55,A,1,0,1,1,1,HNT,
9.Ara,55,A,1,0,1,1,0,HNT,
9.Ara,56,A,1,1,1,1,1,HNT,
9.Ara,56,A,1,0,1,1,1,HNT,
9.Ara,56,A,1,0,1,0,0,HNT,
9.Ara,37,A,1,1,1,1,1,HNT,
9.Ara,37,A,1,1,1,1,1,HNT,
9.Ara,37,A,1,1,1,1,0,HNT,
9.Ara,37,A,1,0,1,1,1,HNT,
9.Ara,37,A,1,0,1,1,0,HNT,
9.Ara,37,A,1,0,1,1,0,HNT,
9.Ara,37,A,1,0,1,0,1,HNT,
9.Ara,37,A,1,0,0,0,0,HNT,WT
9.Ara,37,A,1,0,0,0,0,HNT,WT
9.Ara,31,A,1,1,1,0,0,HNT,
9.Ara,31,A,1,0,1,0,1,HNT,
9.Ara,31,A,1,0,1,0,0,HNT,
9.Ara,31,A,1,0,1,0,0,HNT,
9.Ara,31,A,1,0,0,0,0,HNT,WT
9.Ara,31,A,1,0,0,0,1,HNT,
9.Ara,31,A,1,0,1,1,1,HNT,
9.Ara,31,A,1,0,0,1,0,HNT,
9.Ara,31,A,1,0,0,1,0,HNT,
9.Ara,31,A,1,0,0,1,1,HNT,
9.Ara,31,A,1,0,0,1,1,HNT,
9.Ara,31,A,1,0,0,1,1,HNT,
