Vial,Day,Numbfemales,Date,Initials,Notes
52,C,20,9/23,KEW,
53,C,12,9/23,KEW,
55,C,8,9/23,KEW,
67,C,12,9/23,KEW,
57,C,23,9/23,KEW,
60,C,8,9/23,KEW,
39,C,0,9/23,KEW,
40,C,1,9/23,KEW,
42,C,3,9/23,KEW,
19,C,15,9/23,KEW,
29,C,3,9/23,KEW,
85,C,1,9/23,KEW,
42,C,8,9/23,KEW,
39,C,4,9/23,KEW,
54,C,12,9/23,KEW,
50,C,3,9/23,KEW,
64,C,3,9/23,KEW,
77,C,8,9/23,KEW,
57,C,4,9/23,KEW,
56,C,6,9/23,KEW,
53,C,4,9/23,KEW,
18,C,6,9/23,KEW,
7,C,2,9/23,KEW,many of them dead (10)
5,C,3,9/23,KEW,
82,C,5,9/23,KEW,
81,C,5,9/23,KEW,
95,C,8,9/23,KEW,
89,C,3,9/23,KEW,
91,C,7,9/23,KEW,
94,C,8,9/23,KEW,
51,C,8,9/23,KEW,
55,C,9,9/23,KEW,
95,C,9,9/23,KEW,
72,C,13,9/23,KEW,
54,C,12,9/23,KEW,
80,C,12,9/23,KEW,
85,C,25,9/23,KEW,
87,C,10,9/23,KEW,
91,C,30,9/23,KEW,
84,C,6,9/23,KEW,
57,C,7,9/23,KEW,
4,B,2,9/23,KEW,
5,B,1,9/23,KEW,
9,B,1,9/23,KEW,
12,B,2,9/23,KEW,
18,B,4,9/23,KEW,
19,B,5,9/23,KEW,
50,B,10,9/23,KEW,
51,B,5,9/23,KEW,
57,B,12,9/23,KEW,
59,B,13,9/23,KEW,
57,B,7,9/23,KEW,
67,B,18,9/23,KEW,
73,B,20,9/23,KEW,
79,B,3,9/23,KEW,
55,B,4,9/23,KEW,
54,B,18,9/23,KEW,
60,B,1,9/23,KEW,
61,B,2,9/23,KEW,
74,B,3,9/23,KEW,
84,B,18,9/23,KEW,
81,B,12,9/23,KEW,
53,B,18,9/23,KEW,
80,B,2,9/23,KEW,
77,B,4,9/23,KEW,
85,B,1,9/23,KEW,
94,B,3,9/23,KEW,
95,B,1,9/23,KEW,
91,B,18,9/23,KEW,
96,B,22,9/23,KEW,
88,B,25,9/23,KEW,
64,B,2,9/23,KEW,
81,C,0,9/23,KEW,
88,C,2,9/23,KEW,
91,C,7,9/23,KEW,
85,C,6,9/23,KEW,
67,C,3,9/23,KEW,
60,C,1,9/23,KEW,
79,C,2,9/23,KEW,
59,C,3,9/23,KEW,
51,C,0,9/23,KEW,
54,C,3,9/23,KEW,
77,C,10,9/23,KEW,
73,C,12,9/23,KEW,
16,C,1,9/23,KEW,
21,C,2,9/23,KEW,
27,C,2,9/23,KEW,
5,D,8,9/22,NRR,
61,D,2,9/22,NRR,
9,D,5,9/22,NRR,
63,D,5,9/22,NRR,
34,D,4,9/22,NRR,
6,D,4,9/22,NRR,
52,D,2,9/22,NRR,
38,D,3,9/22,NRR,
80,D,11,9/22,NRR,
71,D,8,9/22,NRR,
31,D,5,9/22,NRR,
42,D,2,9/22,NRR,
12,D,4,9/22,NRR,
37,D,3,9/22,NRR,
54,D,8,9/22,NRR,
29,D,3,9/22,NRR,
65,D,6,9/22,NRR,
55,D,4,9/22,NRR,
60,D,5,9/22,NRR,
40,D,1,9/22,NRR,
88,D,4,9/22,NRR,
91,D,10,9/22,NRR,
66,D,4,9/22,NRR,
96,D,6,9/22,NRR,
94,D,6,9/22,NRR,
50,D,2,9/22,NRR,
84,D,6,9/22,NRR,
39,D,0,9/22,NRR,
56,D,14,9/22,NRR,
76,D,17,9/22,NRR,
64,D,8,9/22,NRR,
95,D,12,9/22,NRR,
67,D,5,9/22,NRR,
74,D,13,9/22,NRR,
73,D,5,9/22,NRR,
51,D,3,9/22,NRR,
81,D,18,9/22,NRR,
85,D,13,9/22,NRR,
57,D,17,9/22,NRR,
77,D,14,9/22,NRR,
53,D,7,9/22,NRR,
76,D,15,9/22,NRR,
62,D,9,9/22,NRR,
43,D,5,9/22,NRR,
82,D,2,9/22,NRR,
59,D,13,9/22,NRR,
53,C,5,9/21,NRR,
4,C,0,9/21,NRR,
94,C,0,9/21,NRR,
74,C,1,9/21,NRR,
84,C,5,9/21,NRR,
96,C,4,9/21,NRR,
92,C,4,9/21,NRR,
85,C,6,9/21,NRR,
88,C,9,9/21,NRR,
81,C,9,9/21,NRR,
91,C,6,9/21,NRR,
57,C,10,9/21,NRR,
71,C,4,9/21,NRR,
95,C,3,9/21,NRR,
80,C,5,9/21,NRR,
79,C,6,9/21,NRR,
57,C,14,9/21,NRR,
67,C,7,9/21,NRR,
51,C,2,9/21,NRR,
82,C,0,9/21,NRR,
54,C,10,9/21,NRR,
91,C,8,9/21,NRR,
96,C,10,9/21,NRR,
89,C,17,9/21,NRR,
41,C,2,9/21,NRR,
51,C,9,9/21,NRR,
50,C,1,9/21,NRR,
54,C,12,9/21,NRR,
60,C,2,9/21,NRR,
84,C,6,9/21,NRR,
81,C,16,9/21,NRR,
88,C,14,9/21,NRR,
79,C,11,9/21,NRR,
73,C,11,9/21,NRR,
91,C,16,9/21,NRR,
88,C,19,9/21,NRR,
66,C,2,9/21,NRR,
81,C,15,9/21,NRR,
89,C,12,9/21,NRR,
87,C,9,9/21,NRR,
65,C,8,9/21,NRR,
73,C,10,9/21,NRR,
77,C,11,9/21,NRR,
80,C,11,9/21,NRR,
62,C,1,9/21,NRR,
84,C,19,9/21,NRR,
94,C,8,9/21,NRR,
96,C,35,9/21,NRR,
60,C,11,9/21,NRR,
55,C,1,9/21,NRR,
57,C,14,9/21,NRR,
67,C,9,9/21,NRR,
85,C,17,9/21,NRR,
79,C,14,9/21,NRR,
95,C,35,9/21,NRR,
59,C,9,9/21,NRR,
43,C,4,9/21,NRR,
21,C,7,9/21,NRR,
56,C,3,9/21,NRR,
52,C,2,9/21,NRR,
53,C,11,9/21,NRR,
64,C,3,9/21,NRR,
67,C,6,9/21,NRR,
60,C,2,9/21,NRR,
79,C,0,9/21,NRR,
19,C,1,9/21,NRR,
29,C,0,9/21,NRR,
3,C,1,9/21,NRR,
54,C,3,9/21,NRR,
51,C,2,9/21,NRR,
61,C,1,9/21,NRR,
9,C,3,9/21,NRR,
89,C,2,9/21,NRR,
37,C,1,9/21,NRR,
59,C,10,9/21,NRR,
55,C,1,9/21,NRR,
63,C,1,9/21,NRR,
90,C,4,9/21,NRR,
77,C,8,9/21,NRR,
73,C,12,9/21,NRR,
54,D,14,9/21,AKT,
4,D,4,9/21,AKT,
55,D,19,9/21,AKT,
57,D,18,9/21,AKT,
38,D,19,9/21,AKT,
79,D,9,9/21,AKT,
59,D,11,9/21,AKT,
40,D,3,9/21,AKT,
39,D,7,9/21,AKT,
37,D,5,9/21,AKT,
56,D,20,9/21,AKT,
43,D,9,9/21,AKT,
14,D,7,9/21,AKT,
16,D,4,9/21,AKT,
4,D,5,9/21,AKT,
65,D,10,9/21,AKT,
60,D,11,9/21,AKT,
67,D,7,9/21,AKT,
41,D,1,9/21,AKT,
64,D,14,9/21,AKT,
18,D,5,9/21,AKT,
74,D,10,9/21,AKT,
66,A,2,9/21,UHA,
55,A,2,9/21,UHA,
4,A,1,9/21,UHA,
9,A,1,9/21,UHA,
54,A,0,9/21,UHA,
10,A,0,9/21,UHA,
3,A,1,9/21,UHA,
5,A,2,9/21,UHA,
19,A,1,9/21,UHA,
34,A,1,9/21,UHA,
37,A,1,9/21,UHA,
13,A,1,9/21,UHA,
25,A,1,9/21,UHA,
22,A,1,9/21,UHA,
61,A,1,9/21,UHA,
70,A,1,9/21,UHA,
77,A,1,9/21,UHA,
63,A,2,9/21,UHA,
93,A,1,9/21,UHA,
95,A,1,9/21,UHA,
81,A,5,9/21,UHA,
90,A,10,9/21,UHA,
65,A,2,9/21,UHA,
96,A,3,9/21,UHA,
94,A,5,9/21,UHA,
79,C,8,9/20,KEW,Flies stuck
76,C,1,9/20,KEW,Flies stuck
89,C,9,9/20,KEW,
88,C,8,9/20,KEW,
96,C,7,9/20,KEW,
74,C,10,9/20,KEW,
71,C,2,9/20,KEW,
57,C,12,9/20,KEW,Flies stuck
56,C,6,9/20,KEW,
59,C,18,9/20,KEW,Flies stuck in food
60,C,14,9/20,KEW,
52,C,11,9/20,KEW,
51,C,7,9/20,KEW,
81,C,12,9/20,KEW,
62,C,10,9/20,KEW,
77,C,16,9/20,KEW,Flies stuck in food
74,B,11,9/21,UHA,
71,B,8,9/21,UHA,
87,B,8,9/21,UHA,
73,B,15,9/21,UHA,
85,B,14,9/21,UHA,
4,B,2,9/21,UHA,
13,B,9,9/21,UHA,
19,B,5,9/21,UHA,
80,B,2,9/21,UHA,
81,B,4,9/21,UHA,
96,B,13,9/21,UHA,
84,B,18,9/21,UHA,
67,B,5,9/21,UHA,
51,B,4,9/21,UHA,
43,B,4,9/21,UHA,
53,B,10,9/21,UHA,
57,B,9,9/21,UHA,
82,B,15,9/21,UHA,
88,B,14,9/21,UHA,
95,B,18,9/21,UHA,
77,B,5,9/21,UHA,
55,B,7,9/21,UHA,
64,B,5,9/21,UHA,
50,B,7,9/21,UHA,
6,D,7,9/21,UHA,
51,D,21,9/21,UHA,
64,D,12,9/21,UHA,
53,D,22,9/21,UHA,
52,D,15,9/21,UHA,
36,D,4,9/21,UHA,
53,A,4,9/19,AKT,
50,A,5,9/19,AKT,
84,A,4,9/19,AKT,
77,A,3,9/19,AKT,
73,A,8,9/19,AKT,
79,A,1,9/19,AKT,
91,A,13,9/19,AKT,
38,C,2,9/19,AKT,
43,C,7,9/19,AKT,
43,D,13,9/20,HNT,
51,D,15,9/20,HNT,
57,D,11,9/20,HNT,
54,D,24,9/20,HNT,
56,D,8,9/20,HNT,
53,D,29,9/20,HNT,
52,D,11,9/20,HNT,
55,D,12,9/20,HNT,
67,C,7,9/20,HNT,
65,C,13,9/20,HNT,
84,C,17,9/20,HNT,
95,C,8,9/19,KEW,
96,C,11,9/19,KEW,
81,C,20,9/19,KEW,Flies stuck in food
82,C,10,9/19,KEW,
84,C,18,9/19,KEW,Flies stuck in food
85,C,7,9/19,KEW,
87,C,12,9/19,KEW,
71,C,9,9/19,KEW,Flies stuck in food
74,C,18,9/19,KEW,
76,C,5,9/19,KEW,Flies stuck in food
77,C,24,9/19,KEW,Flies stuck in food
79,C,24,9/19,KEW,Flies stuck in food
80,C,8,9/19,KEW,
61,C,4,9/19,KEW,
62,C,10,9/19,KEW,Flies stuck in food
63,C,4,9/19,KEW,Flies stuck
64,C,13,9/19,KEW,Flies stuck
65,C,13,9/19,KEW,Flies stuck
66,C,7,9/19,KEW,Flies stuck
51,C,10,9/19,KEW,
54,C,21,9/19,KEW,Flies stuck
59,C,16,9/19,KEW,
50,C,4,9/19,KEW,
21,C,3,9/19,KEW,
1,C,0,9/19,KEW,
26,C,1,9/19,KEW,
37,C,9,9/19,KEW,
6,D,8,9/20,HNT,
19,D,9,9/20,HNT,
1,D,2,9/20,HNT,
13,D,5,9/20,HNT,
16,D,6,9/20,HNT,
5,D,4,9/20,HNT,
3,D,6,9/20,HNT,
9,D,2,9/20,HNT,
29,D,4,9/20,HNT,
34,D,5,9/20,HNT,
33,D,4,9/20,HNT,
21,D,5,9/20,HNT,
27,D,4,9/20,HNT,
37,D,11,9/20,HNT,
40,D,7,9/20,HNT,
38,D,17,9/20,HNT,
60,D,15,9/20,HNT,
59,D,20,9/20,HNT,
41,D,9,9/20,HNT,
55,B,9,9/18,NRR,
42,B,4,9/18,NRR,
88,B,15,9/18,NRR,
3,D,3,9/18,NRR,
71,B,12,9/18,NRR,
79,B,10,9/19,UHA,
76,B,5,9/19,UHA,
80,B,3,9/19,UHA,
59,B,2,9/19,UHA,
71,B,1,9/19,UHA,
59,B,3,9/19,UHA,
95,B,4,9/19,UHA,
13,B,7,9/19,UHA,
72,B,8,9/19,UHA,
8,B,9,9/19,UHA,
9,B,10,9/19,UHA,
5,D,1,9/19,UHA,
4,D,1,9/19,UHA,
3,D,8,9/19,UHA,
1,D,2,9/19,UHA,
14,D,4,9/19,UHA,
22,D,3,9/19,UHA,
18,D,5,9/19,UHA,
15,D,7,9/19,UHA,
16,D,10,9/19,UHA,
19,D,12,9/19,UHA,
54,A,11,9/19,AKT,
60,A,2,9/19,AKT,
87,A,18,9/19,AKT,
68,A,9,9/19,AKT,
51,A,3,9/19,AKT,
63,A,8,9/19,AKT,
81,A,7,9/19,AKT,
90,A,5,9/19,AKT,
59,A,1,9/19,AKT,
96,A,7,9/19,AKT,
65,A,3,9/19,AKT,
94,A,12,9/19,AKT,
92,A,1,9/19,AKT,
82,A,8,9/19,AKT,
52,A,4,9/19,AKT,
1,A,2,9/19,AKT,
8,A,2,9/19,AKT,
67,A,3,9/19,AKT,
76,A,2,9/19,AKT,
88,A,2,9/19,AKT,
63,D,10,9/19,UHA,
31,D,5,9/19,UHA,
36,D,3,9/19,UHA,
37,D,2,9/19,UHA,
21,D,4,9/19,UHA,
29,D,8,9/19,UHA,
27,D,2,9/19,UHA,
26,D,0,9/19,UHA,
25,D,10,9/19,UHA,
41,D,12,9/19,UHA,
54,D,15,9/19,UHA,
52,D,16,9/19,UHA,
40,D,22,9/19,UHA,
39,D,14,9/19,UHA,
38,D,15,9/19,UHA,
79,B,10,9/19,UHA,
14,B,3,9/19,UHA,
80,B,8,9/19,UHA,
77,B,7,9/19,UHA,
84,B,5,9/19,UHA,
85,B,2,9/19,UHA,
54,B,3,9/19,UHA,
41,B,4,9/19,UHA,
67,B,4,9/19,UHA,
74,B,5,9/19,UHA,
89,B,7,9/19,UHA,
4,B,8,9/19,UHA,
51,B,10,9/19,UHA,
53,B,13,9/19,UHA,
82,B,17,9/19,UHA,
64,B,5,9/19,UHA,
13,B,8,9/19,UHA,
87,B,8,9/19,UHA,
55,B,7,9/19,UHA,
73,B,7,9/19,UHA,
57,B,3,9/19,UHA,
96,B,5,9/19,UHA,
94,B,8,9/19,UHA,
31,B,7,9/19,UHA,
91,B,10,9/19,UHA,
74,B,12,9/19,UHA,
19,B,5,9/19,UHA,
9,B,10,9/19,UHA,
55,B,12,9/19,UHA,
73,B,5,9/19,UHA,
65,B,3,9/19,UHA,
57,B,5,9/18,UHA,
56,B,3,9/18,UHA,
89,B,1,9/18,UHA,
40,C,2,9/18,MES,
50,C,8,9/18,MES,
67,C,8,9/18,MES,
37,C,13,9/18,MES,
53,B,10,9/18,UHA,
74,B,5,9/18,UHA,
50,B,3,9/18,UHA,
89,B,2,9/18,UHA,
90,B,1,9/18,UHA,
76,B,7,9/18,UHA,
92,B,8,9/18,UHA,
85,B,5,9/18,UHA,
87,B,3,9/18,UHA,
73,B,3,9/18,UHA,
1,D,10,9/18,UHA,
22,D,12,9/18,UHA,
27,D,5,9/18,UHA,
21,D,7,9/18,UHA,
16,D,3,9/18,UHA,
4,D,2,9/18,UHA,
5,D,0,9/18,UHA,
6,D,7,9/18,UHA,
14,D,3,9/18,UHA,
25,D,4,9/18,UHA,
51,A,5,9/18,AKT,
87,A,19,9/18,AKT,
82,A,8,9/18,AKT,
94,A,8,9/18,AKT,
88,A,8,9/18,AKT,
89,A,6,9/18,AKT,
53,A,8,9/18,AKT,
81,A,7,9/18,AKT,
91,A,3,9/18,AKT,
93,A,7,9/18,AKT,
96,A,13,9/18,AKT,
95,A,2,9/18,AKT,
92,A,6,9/18,AKT,
50,A,4,9/18,AKT,
66,A,6,9/18,AKT,
84,A,5,9/18,AKT,
15,D,6,9/18,AKT,
15,D,8,9/18,AKT,
4,D,9,9/18,AKT,
18,D,15,9/18,AKT,
36,D,8,9/18,AKT,
12,D,9,9/18,AKT,
29,D,12,9/18,AKT,
19,D,12,9/18,AKT,
26,D,7,9/18,AKT,
9,D,8,9/18,AKT,
27,D,6,9/18,AKT,
62,C,5,9/18,KEW,Flies stuck in food
54,C,17,9/18,KEW,
43,C,13,9/18,KEW,
71,C,31,9/18,KEW,Flies stuck in food
76,C,18,9/18,KEW,
59,C,7,9/18,KEW,
38,C,11,9/18,KEW,
53,C,22,9/18,KEW,
41,C,13,9/18,KEW,
30,C,7,9/18,KEW,
51,C,12,9/18,KEW,
61,C,7,9/18,KEW,Fly stuck in food
64,C,7,9/18,KEW,Fly stuck in food
60,C,8,9/18,KEW,
5,B,18,9/17,UHA,
51,B,5,9/17,UHA,
13,B,12,9/17,UHA,
1,B,14,9/17,UHA,
94,B,25,9/17,UHA,
56,B,8,9/17,UHA,
37,B,4,9/17,UHA,
3,B,9,9/17,UHA,
73,B,2,9/17,UHA,
52,B,4,9/17,UHA,
27,B,8,9/17,UHA,
63,B,22,9/17,UHA,
42,B,31,9/17,UHA,
39,B,21,9/17,UHA,
38,B,18,9/17,UHA,
50,B,32,9/17,UHA,
56,B,5,9/17,UHA,
50,B,8,9/17,UHA,
59,B,8,9/17,UHA,
55,B,10,9/17,UHA,
39,B,12,9/17,UHA,
19,B,11,9/17,UHA,
55,B,12,9/17,UHA,
52,B,9,9/17,UHA,
31,B,22,9/17,UHA,
43,B,18,9/17,UHA,
42,B,15,9/17,UHA,
4,B,12,9/17,UHA,
40,B,13,9/17,UHA,
88,A,3,9/18,UHA,
71,A,5,9/18,UHA,
84,A,8,9/18,UHA,
66,A,3,9/18,UHA,
65,A,0,9/18,UHA,
58,A,5,9/18,UHA,
56,A,12,9/18,UHA,
94,A,5,9/18,UHA,
85,A,12,9/18,UHA,
87,A,1,9/18,UHA,
58,A,10,9/18,UHA,
63,A,9,9/18,UHA,
50,A,13,9/18,UHA,
80,A,9,9/18,UHA,
79,A,5,9/18,UHA,
70,A,18,9/18,UHA,
74,A,5,9/18,UHA,
69,A,7,9/18,UHA,
67,A,8,9/18,UHA,
55,A,12,9/18,UHA,
52,A,19,9/18,UHA,
21,A,12,9/18,UHA,
43,A,23,9/18,UHA,
66,B,10,9/18,UHA,
95,B,9,9/18,UHA,
96,B,23,9/18,UHA,
82,B,12,9/18,UHA,
84,B,24,9/18,UHA,
92,B,5,9/18,UHA,
89,B,8,9/18,UHA,
85,B,4,9/18,UHA,
96,B,3,9/18,UHA,
95,B,5,9/18,UHA,
80,B,1,9/18,UHA,
59,B,10,9/18,UHA,
64,B,5,9/18,UHA,
81,B,7,9/18,UHA,
94,B,9,9/18,UHA,
3,B,3,9/18,UHA,
5,B,2,9/18,UHA,
82,B,5,9/18,UHA,
84,B,2,9/18,UHA,
65,B,3,9/18,UHA,
92,B,8,9/18,UHA,
91,B,3,9/18,UHA,
79,B,5,9/18,UHA,
29,C,3,9/17,UHA,
60,C,3,9/17,UHA,
50,C,2,9/17,UHA,
64,C,1,9/17,UHA,
67,C,5,9/17,UHA,
57,C,8,9/17,UHA,
62,C,4,9/17,UHA,
39,C,8,9/17,UHA,
21,C,10,9/17,UHA,
4,C,12,9/17,UHA,
41,C,13,9/17,UHA,
56,C,15,9/17,UHA,
9,C,8,9/17,UHA,
40,C,10,9/17,UHA,
42,C,12,9/17,UHA,
25,C,14,9/17,UHA,
19,C,20,9/17,UHA,
59,C,15,9/17,UHA,
43,C,22,9/17,UHA,
19,D,10,9/17,UHA,
3,D,5,9/17,UHA,
22,D,8,9/17,UHA,
25,D,8,9/17,UHA,
21,D,7,9/17,UHA,
5,D,6,9/17,UHA,
12,D,3,9/17,UHA,
14,D,3,9/17,UHA,
15,D,2,9/17,UHA,
27,D,0,9/17,UHA,
31,D,10,9/17,UHA,
29,D,3,9/17,UHA,
15,D,13,9/17,UHA,
4,D,27,9/17,UHA,
6,D,5,9/17,UHA,
1,D,5,9/17,UHA,
3,D,8,9/17,UHA,
4,D,10,9/17,UHA,
5,D,12,9/17,UHA,
6,D,15,9/17,UHA,
9,D,18,9/17,UHA,
12,D,15,9/17,UHA,
62,B,18,9/17,UHA,
31,B,22,9/17,UHA,
82,B,5,9/17,UHA,
64,B,3,9/17,UHA,
96,B,1,9/17,UHA,
22,B,3,9/16,UHA,
18,B,5,9/16,UHA,
59,B,13,9/16,UHA,5 dead flies
53,B,9,9/16,UHA,
57,B,13,9/16,UHA,3 dead flies
21,B,2,9/16,UHA,2 dead
60,B,8,9/16,UHA,
63,B,1,9/16,UHA,
