Vial Number,Day Crosse ,Treatment,F1 Vial ,Virgin Vial,# of Females,Day Collected,Male Date,# of Males,Notes
1,15-Aug,Age,43,137,1,11-Jul,8-Aug,1,
2,15-Aug,Age,43,137,1,11-Jul,8-Aug,1,M
3,15-Aug,Age,43,137,1,11-Jul,8-Aug,1,
4,15-Aug,Age,43,137,1,11-Jul,8-Aug,1,
5,15-Aug,Age,39,130,1,11-Jul,8-Aug,1,
6,15-Aug,Age,39,130,1,11-Jul,8-Aug,1,
7,15-Aug,Age,35,123,1,11-Jul,8-Aug,1,
8,15-Aug,Age,35,123,1,11-Jul,8-Aug,1,M
9,15-Aug,Age,31,122,1,11-Jul,8-Aug,1,M
10,15-Aug,Age,31,122,1,11-Jul,8-Aug,1,
11,15-Aug,Age,31,122,1,11-Jul,8-Aug,1,
12,15-Aug,Age,31,122,1,11-Jul,8-Aug,1,
13,15-Aug,Age,27,117,1,11-Jul,8-Aug,1,
14,15-Aug,Age,27,117,1,11-Jul,8-Aug,1,
15,15-Aug,Age,45,139,1,11-Jul,8-Aug,1,
16,15-Aug,Age,45,139,1,11-Jul,8-Aug,1,
17,16-Aug,Age,42,161,1,12-Jul,9-Aug,1,B dead
18,16-Aug,Age,39,155,1,12-Jul,9-Aug,1,
19,16-Aug,Age,39,155,1,12-Jul,9-Aug,1,
20,16-Aug,Age,39,155,1,12-Jul,9-Aug,1,
21,16-Aug,Age,39,155,1,12-Jul,9-Aug,1,
22,16-Aug,Age,39,155,1,12-Jul,9-Aug,1,
23,16-Aug,Age,35,151,1,12-Jul,9-Aug,1,
24,16-Aug,Age,35,151,1,12-Jul,9-Aug,1,
25,16-Aug,Age,31,146,1,12-Jul,9-Aug,1,
26,16-Aug,Age,31,168,1,12-Jul,9-Aug,1,
27,16-Aug,Age,27,142,1,12-Jul,9-Aug,1,
28,16-Aug,Age,27,142,1,12-Jul,9-Aug,1,
29,16-Aug,Age,45,165,1,12-Jul,9-Aug,1,
30,16-Aug,Age,45,165,1,12-Jul,9-Aug,1,
31,16-Aug,Age,45,165,1,12-Jul,9-Aug,1,
32,17-Aug,Age,39,178,1,13-Jul,10-Aug,1,
33,17-Aug,Age,39,178,1,13-Jul,10-Aug,1,
34,17-Aug,Age,35,175,1,13-Jul,10-Aug,1,
35,17-Aug,Age,35,175,1,13-Jul,10-Aug,1,
36,17-Aug,Age,27,170,1,13-Jul,10-Aug,1,
37,18-Aug,Age,43,196,1,14-Jul,11-Aug,1,
38,18-Aug,Age,43,196,1,14-Jul,11-Aug,1,
39,18-Aug,Age,35,189,1,14-Jul,11-Aug,1,
40,18-Aug,Age,35,189,1,14-Jul,11-Aug,1,
41,18-Aug,Age,31,188,1,14-Jul,11-Aug,1,
42,18-Aug,Age,31,188,1,14-Jul,11-Aug,1,
43,18-Aug,Age,27,186,1,14-Jul,11-Aug,1,
44,18-Aug,Age,27,186,1,14-Jul,11-Aug,1,
45,18-Aug,Age,27,186,1,14-Jul,11-Aug,1,
46,18-Aug,Age,45,197,1,14-Jul,11-Aug,1,
47,18-Aug,Age,45,197,1,14-Jul,11-Aug,1,
48,18-Aug,Age,27,196,1,14-Jul,11-Aug,1,One 196 died
49,19-Aug,Control,213,1,1,12-Aug,12-Aug,1,
50,19-Aug,Control,213,1,1,12-Aug,12-Aug,1,
51,19-Aug,Control,213,1,1,12-Aug,12-Aug,1,
52,19-Aug,Control,214,3,1,12-Aug,12-Aug,1,
53,19-Aug,Control,214,3,1,12-Aug,12-Aug,1,
54,19-Aug,Control,214,3,1,12-Aug,12-Aug,1,
55,19-Aug,Control,216,4,1,12-Aug,12-Aug,1,
56,19-Aug,Control,216,4,1,12-Aug,12-Aug,1,
57,19-Aug,Control,216,4,1,12-Aug,12-Aug,1,
58,19-Aug,Control,218,5,1,12-Aug,12-Aug,1,
59,19-Aug,Control,218,5,1,12-Aug,12-Aug,1,
60,19-Aug,Control,218,5,1,12-Aug,12-Aug,1,
61,20-Aug,Control,213,8,1,13-Aug,13-Aug,1,
62,20-Aug,Control,213,8,1,13-Aug,13-Aug,1,
63,20-Aug,Control,214,9,1,13-Aug,13-Aug,1,
64,20-Aug,Control,214,9,1,13-Aug,13-Aug,1,
