Vial Number,Day Crossed,Treatment,F1 Vial,Virgin Vial,# of females,Day Collected,Male Date,# of males,Notes
1,20-Jun,24,V7a,1,1,13-Jun,13-Jun,1,M
2,20-Jun,24,V7a,1,1,13-Jun,13-Jun,1,M
3,20-Jun,24,V7a,1,1,13-Jun,13-Jun,1,M
4,20-Jun,24,V7a,1,1,13-Jun,13-Jun,1,M
5,20-Jun,24,V7a,1,1,13-Jun,13-Jun,1,M
6,21-Jun,24,V7a,2,1,14-Jun,14-Jun,1,M
7,21-Jun,24,V7a,2,1,14-Jun,14-Jun,1,M
8,21-Jun,24,V9a,3,1,14-Jun,14-Jun,1,M
9,21-Jun,24,V9a,3,1,14-Jun,14-Jun,1,"M, Male was not isolated"
10,21-Jun,24,V9a,3,1,14-Jun,14-Jun,1,"M, Lost during transfer from O vial to plate"
11,21-Jun,24,V11a,4,1,14-Jun,14-Jun,1,M
12,21-Jun,24,V11a,4,1,14-Jun,14-Jun,1,M
13,21-Jun,24,V11a,4,1,14-Jun,14-Jun,1,M
14,21-Jun,24,V11a,4,1,14-Jun,14-Jun,1,M
15,21-Jun,18,V1a,5,1,14-Jun,14-Jun,1,"M, Male was not isolated"
16,22-Jun,24,V9a,6,1,15-Jun,15-Jun,1,M
17,22-Jun,24,V9a,6,1,15-Jun,15-Jun,1,M
18,22-Jun,24,V9a,6,1,15-Jun,15-Jun,1,
19,22-Jun,24,V9a,6,1,15-Jun,15-Jun,1,
20,22-Jun,24,V9a,6,1,15-Jun,15-Jun,1,M
21,22-Jun,18,V7a,7,1,15-Jun,15-Jun,1,
22,22-Jun,24,V19a,8,1,15-Jun,15-Jun,1,
23,22-Jun,24,V19a,8,1,15-Jun,15-Jun,1,
24,22-Jun,24,V19a,8,1,15-Jun,15-Jun,1,
25,22-Jun,24,V19a,8,1,15-Jun,15-Jun,1,
26,23-Jun,24,V7a,9,1,16-Jun,16-Jun,1,
27,23-Jun,24,V7a,9,1,16-Jun,16-Jun,1,
28,23-Jun,24,V7a,9,1,16-Jun,16-Jun,1,
29,23-Jun,18,V1a,10,1,16-Jun,16-Jun,1,M
30,23-Jun,18,V1a,10,1,16-Jun,16-Jun,1,M
31,23-Jun,18,V1a,10,1,16-Jun,16-Jun,1,
32,23-Jun,24,V11a,11,1,16-Jun,16-Jun,1,
33,23-Jun,24,V11a,11,1,16-Jun,16-Jun,1,
34,23-Jun,24,V11a,11,1,16-Jun,16-Jun,1,
35,23-Jun,18,V2a,12,1,16-Jun,16-Jun,1,
36,23-Jun,18,V2a,12,1,16-Jun,16-Jun,1,
37,23-Jun,18,V2a,12,1,16-Jun,16-Jun,1,
38,23-Jun,18,V2a,12,1,16-Jun,16-Jun,1,
39,23-Jun,18,V5a,13,1,16-Jun,16-Jun,1,
40,23-Jun,18,V5a,13,1,16-Jun,16-Jun,1,
41,24-Jun,18,V5a,14,1,17-Jun,17-Jun,1,
42,24-Jun,24,V9a,15,1,17-Jun,17-Jun,1,
43,24-Jun,24,V9a,15,1,17-Jun,17-Jun,1,"M, Female lost during flip from A to B"
44,24-Jun,24,V11a,16,1,17-Jun,17-Jun,1,
45,24-Jun,24,V11a,16,1,17-Jun,17-Jun,1,
46,24-Jun,24,V11a,16,1,17-Jun,17-Jun,1,
47,24-Jun,24,V19a,17,1,17-Jun,17-Jun,1,
48,24-Jun,24,V19a,17,1,17-Jun,17-Jun,1,
49,24-Jun,24,V19a,17,1,17-Jun,17-Jun,1,Lost during N to M flip
50,24-Jun,24,V19a,17,1,17-Jun,17-Jun,1,
51,24-Jun,24,V19a,17,1,17-Jun,17-Jun,1,
52,25-Jun,24,V19a,18,1,18-Jun,18-Jun,1,"Female died during time in vial A, was never flipped to B"
53,25-Jun,18,V1a,19,1,18-Jun,18-Jun,1,
54,25-Jun,18,V1a,19,1,18-Jun,18-Jun,1,During the B to C flip some of the food from the B vial became dislodged and went in the C vial
55,25-Jun,18,V2a,20,1,18-Jun,18-Jun,1,
56,25-Jun,18,V2a,20,1,18-Jun,18-Jun,1,
57,25-Jun,18,V2a,20,1,18-Jun,18-Jun,1,
58,25-Jun,18,V2a,20,1,18-Jun,18-Jun,1,
59,25-Jun,18,V2a,20,1,18-Jun,18-Jun,1,
60,25-Jun,18,V3a,21,1,18-Jun,18-Jun,1,Lost during the B to C flip
61,25-Jun,18,V3a,21,1,18-Jun,18-Jun,1,
62,25-Jun,18,V3a,21,1,18-Jun,18-Jun,1,
63,25-Jun,18,V5a,22,1,18-Jun,18-Jun,1,
64,25-Jun,18,V5a,22,1,18-Jun,18-Jun,1,
65,25-Jun,18,V5a,22,1,18-Jun,18-Jun,1,
66,25-Jun,18,V5a,22,1,18-Jun,18-Jun,1,
67,25-Jun,18,V5a,22,1,18-Jun,18-Jun,1,
68,25-Jun,18,V5a,22,1,18-Jun,18-Jun,1,
69,25-Jun,18,V3a,21,1,18-Jun,18-Jun,1,"Due to vials not being 100% in numerical order, the V3a are slightly out of order"
70,26-Jun,18,V1a,23,1,19-Jun,19-Jun,1,
71,26-Jun,18,V1a,23,1,19-Jun,19-Jun,1,
72,26-Jun,18,V1a,23,1,19-Jun,19-Jun,1,
73,26-Jun,18,V3a,24,1,19-Jun,19-Jun,1,
74,26-Jun,18,V3a,24,1,19-Jun,19-Jun,1,
75,26-Jun,18,V3a,24,1,19-Jun,19-Jun,1,
76,26-Jun,18,V5a,25,1,19-Jun,19-Jun,1,
77,26-Jun,18,V1a,26,1,20-Jun,20-Jun,1,
78,28-Jun,18,V3a,27,1,21-Jun,21-Jun,1,
79,28-Jun,18,V3a,27,1,21-Jun,21-Jun,1,
80,28-Jun,18,V3a,27,1,21-Jun,21-Jun,1,Lost during H to I flip
